Entity,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation,Number of parameters (Original Day),Training computation (petaFLOP) (Original Day),,,,Number of parameters,Training computation (petaFLOP),,,,
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2/17/2026,666.00006,185000000,Academia and industry collaboration,8/30/2018,8/30/2018,,,,185000000,666.00006,,,,
4 layer QRNN (h=2500),2/17/2026,591.5882,151000000,Industry,3/22/2018,3/22/2018,,,,151000000,591.5882,,,,
ACF-WIDER,2/17/2026,0.07638001,6144,Academia,7/15/2014,7/15/2014,,,,6144,0.07638001,,,,
ADALINE,2/17/2026,6.60E-12,17,Academia,6/30/1960,6/30/1960,,,,17,6.60E-12,,,,
ADAM (CIFAR-10),2/17/2026,0.62497985,2370000,Academia and industry collaboration,12/22/2014,12/22/2014,,,,2370000,0.62497985,,,,
ADM,2/17/2026,6200000,559000000,Industry,5/11/2021,5/11/2021,,,,559000000,6200000,,,,
AFM-on-device,2/17/2026,451260000,2730000000,Industry,7/29/2024,7/29/2024,,,,2730000000,451260000,,,,
ALBERT-xxlarge,2/17/2026,2390000,235000000,Academia and industry collaboration,2/9/2020,2/9/2020,,,,235000000,2390000,,,,
ALIGN,2/17/2026,25986700,820000000,Industry,6/11/2021,6/11/2021,,,,820000000,25986700,,,,
ALLaM adapted 70B,2/17/2026,1062000060,70000000000,Other,5/21/2024,5/21/2024,,,,70000000000,1062000060,,,,
ANN Eye Tracker,2/17/2026,1.75E-05,5620,Other,11/29/1993,11/29/1993,,,,5620,1.75E-05,,,,
AR-LDM,2/17/2026,510000,1500000000,Academia and industry collaboration,11/20/2022,11/20/2022,,,,1500000000,510000,,,,
ASE+ACE,2/17/2026,3.24E-07,324,Academia,9/1/1983,9/1/1983,,,,324,3.24E-07,,,,
AWD-LSTM + MoS + Partial Shuffled,2/17/2026,315.00003,35000000,Academia,6/10/2019,6/10/2019,,,,35000000,315.00003,,,,
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2/17/2026,297.00003,33000000,Industry,8/7/2017,8/7/2017,,,,33000000,297.00003,,,,
AWD-LSTM+WT+Cache+IOG (WT2),2/17/2026,3.18,53000000,Industry,9/26/2017,9/26/2017,,,,53000000,3.18,,,,
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2/17/2026,408,34000000,Academia,5/14/2019,5/14/2019,,,,34000000,408,,,,
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2/17/2026,3360,35000000,Academia,11/10/2017,11/10/2017,,,,35000000,3360,,,,
Adaptive Input Transformer + RD,2/17/2026,85800.01,247000000,Academia and industry collaboration,6/28/2021,6/28/2021,,,,247000000,85800.01,,,,
AgentFounder-30B,2/17/2026,653670000,30000000000,Industry,9/16/2025,9/16/2025,,,,30000000000,653670000,,,,
AlexNet,2/17/2026,470,60000000,Academia,9/30/2012,9/30/2012,,,,60000000,470,,,,
AlexaTM 20B,2/17/2026,204374020,19750000000,Industry,8/2/2022,8/2/2022,,,,19750000000,204374020,,,,
AlphaCode,2/17/2026,238010000,41100000000,Industry,2/2/2022,2/2/2022,,,,41100000000,238010000,,,,
AlphaFold,2/17/2026,100000,16340840,Industry,1/15/2020,1/15/2020,,,,16340840,100000,,,,
AlphaFold 2,2/17/2026,2990000,93000000,Industry,11/30/2020,11/30/2020,,,,93000000,2990000,,,,
AlphaGo Fan,2/17/2026,380000.03,8209984,Industry,10/1/2015,10/1/2015,,,,8209984,380000.03,,,,
AlphaGo Zero,2/17/2026,649439.9,46400244,Industry,10/18/2017,10/18/2017,,,,46400244,649439.9,,,,
AlphaStar,2/17/2026,107734000,139000000,Industry,10/30/2019,10/30/2019,,,,139000000,107734000,,,,
AlphaX-1,2/17/2026,889.344,5400000,Academia and industry collaboration,10/2/2019,10/2/2019,,,,5400000,889.344,,,,
Amazon Titan,2/17/2026,4800000000,2.00E+11,Industry,9/28/2023,9/28/2023,,,,2.00E+11,4800000000,,,,
Ankh_large,2/17/2026,6500000,1900000000,Academia,1/16/2023,1/16/2023,,,,1900000000,6500000,,,,
Aramco Metabrain AI,2/17/2026,10500000000,2.50E+11,Other,3/4/2024,3/4/2024,,,,2.50E+11,10500000000,,,,
AudioGen,2/17/2026,9500000,1000000000,Academia and industry collaboration,3/5/2023,3/5/2023,,,,1000000000,9500000,,,,
AudioLM,2/17/2026,3900,1500000000,Industry,7/26/2023,7/26/2023,,,,1500000000,3900,,,,
BASIC-L,2/17/2026,41200000,3070000000,Industry,11/19/2021,11/19/2021,,,,3070000000,41200000,,,,
BEIT-3,2/17/2026,70000,1900000000,Industry,8/22/2022,8/22/2022,,,,1900000000,70000,,,,
BERT-Large,2/17/2026,285000,340000000,Industry,10/11/2018,10/11/2018,,,,340000000,285000,,,,
BERT-Large-CAS (PTB+WT2+WT103),2/17/2026,154050,395000000,Industry,4/20/2019,4/20/2019,,,,395000000,154050,,,,
BERT-RBP,2/17/2026,140000,110000000,Academia,4/7/2022,4/7/2022,,,,110000000,140000,,,,
BIDAF,2/17/2026,3468.6145,2600000,Other,11/5/2016,11/5/2016,,,,2600000,3468.6145,,,,
BLIP-2 (Q-Former),2/17/2026,1200000,1480000000,Industry,1/30/2023,1/30/2023,,,,1480000000,1200000,,,,
BLOOM-176B,2/17/2026,365664000,1.76E+11,Other,7/11/2022,7/11/2022,,,,1.76E+11,365664000,,,,
Bankruptcy-NN,2/17/2026,3.06E-06,36,Other,6/17/1990,6/17/1990,,,,36,3.06E-06,,,,
Base LM + kNN LM + Continuous Cache,2/17/2026,30529.201,247000000,Academia and industry collaboration,11/1/2019,11/1/2019,,,,247000000,30529.201,,,,
Big-Little Net,2/17/2026,246.048,77360000,Industry,7/10/2018,7/10/2018,,,,77360000,246.048,,,,
Big-Little Net (speech),2/17/2026,429.00482,3320000,Industry,7/10/2018,7/10/2018,,,,3320000,429.00482,,,,
BlenderBot 3,2/17/2026,430000030,1.75E+11,Academia and industry collaboration,8/10/2022,8/10/2022,,,,1.75E+11,430000030,,,,
BloombergGPT,2/17/2026,236000020,50558868480,Academia and industry collaboration,3/30/2023,3/30/2023,,,,50558868480,236000020,,,,
ByT5-XXL,2/17/2026,81000000,12900000000,Industry,5/28/2021,5/28/2021,,,,12900000000,81000000,,,,
CLIP (ViT L/14@336px),2/17/2026,10500000,370000000,Industry,1/5/2021,1/5/2021,,,,370000000,10500000,,,,
CNN Committee (MNIST),2/17/2026,52,120620,Academia,9/18/2011,9/18/2011,,,,120620,52,,,,
CNN Committee (NIST),2/17/2026,26,128420,Academia,9/18/2011,9/18/2011,,,,128420,26,,,,
CNN committee (traffic sign),2/17/2026,0.99198145,1388800,Academia,10/3/2011,10/3/2011,,,,1388800,0.99198145,,,,
CODEFUSION (Python),2/17/2026,7920,75000000,Industry,10/26/2023,10/26/2023,,,,75000000,7920,,,,
CPM-Large,2/17/2026,260520,2600000000,Academia,12/1/2020,12/1/2020,,,,2600000000,260520,,,,
CT-MoS (WT2),2/17/2026,540,45000000,Academia and industry collaboration,12/25/2020,12/25/2020,,,,45000000,540,,,,
CaLM,2/17/2026,29000,86000000,Academia,12/19/2022,12/19/2022,,,,86000000,29000,,,,
CamemBERT,2/17/2026,830000,335000000,Academia and industry collaboration,11/10/2019,11/10/2019,,,,335000000,830000,,,,
Cancer drug mechanism prediction,2/17/2026,5.35E-08,594,Other,10/16/1992,10/16/1992,,,,594,5.35E-08,,,,
Ceramic-MLP,2/17/2026,4.53E-06,1888,Academia,1/7/1994,1/7/1994,,,,1888,4.53E-06,,,,
ChatGLM3-6B,2/17/2026,50400000,6000000000,Industry,10/27/2023,10/27/2023,,,,6000000000,50400000,,,,
Chinchilla,2/17/2026,576000000,70000000000,Industry,3/29/2022,3/29/2022,,,,70000000000,576000000,,,,
CoAtNet,2/17/2026,42700004,2440000000,Industry,6/9/2021,6/9/2021,,,,2440000000,42700004,,,,
CoCa,2/17/2026,73000000,2100000000,Industry,6/14/2022,6/14/2022,,,,2100000000,73000000,,,,
CodeT5-base,2/17/2026,1560000.1,220000000,Academia and industry collaboration,11/1/2021,11/1/2021,,,,220000000,1560000.1,,,,
CodeT5-large,2/17/2026,2720000,770000000,Industry,7/5/2022,7/5/2022,,,,770000000,2720000,,,,
Codex,2/17/2026,73440000,12000000000,Industry,7/7/2021,7/7/2021,,,,12000000000,73440000,,,,
CogAgent,2/17/2026,67070004,18000000000,Academia and industry collaboration,12/14/2023,12/14/2023,,,,18000000000,67070004,,,,
CogVLM-17B,2/17/2026,63310000,17000000000,Academia and industry collaboration,11/6/2023,11/6/2023,,,,17000000000,63310000,,,,
CogView,2/17/2026,26800000,4000000000,Academia and industry collaboration,5/26/2021,5/26/2021,,,,4000000000,26800000,,,,
Cognitron,2/17/2026,5.18E-09,21600,Industry,9/1/1975,9/1/1975,,,,21600,5.18E-09,,,,
Conformer + Wav2vec 2.0 + Noisy Student,2/17/2026,7600000,1000000000,Industry,10/20/2020,10/20/2020,,,,1000000000,7600000,,,,
Contriever,2/17/2026,157000,110000000,Academia and industry collaboration,12/16/2021,12/16/2021,,,,110000000,157000,,,,
DALL-E,2/17/2026,47000000,12000000000,Industry,1/5/2021,1/5/2021,,,,12000000000,47000000,,,,
DALL·E 2,2/17/2026,336957860,3500000000,Industry,4/6/2022,4/6/2022,,,,3500000000,336957860,,,,
DBRX,2/17/2026,2600000000,1.32E+11,Industry,3/27/2024,3/27/2024,,,,1.32E+11,2600000000,,,,
