Day,Number of parameters,,,,,,,
43342,185000000,,,,,,,
42331,5355584,,,,,,,
42719,44500000,,,,,,,
43181,151000000,,,,,,,
44411,5000000,,,,,,,
46021,5.19E+11,,,,,,,
41835,6144,,,,,,,
41995,2370000,,,,,,,
44327,559000000,,,,,,,
45502,2730000000,,,,,,,
43734,18000000,,,,,,,
43870,235000000,,,,,,,
44358,820000000,,,,,,,
45433,70000000000,,,,,,,
44893,335000000,,,,,,,
44885,1500000000,,,,,,,
42934,24000000,,,,,,,
43626,35000000,,,,,,,
42954,33000000,,,,,,,
43004,53000000,,,,,,,
43599,34000000,,,,,,,
43049,35000000,,,,,,,
43361,35000000,,,,,,,
43326,35000000,,,,,,,
44583,355000000,,,,,,,
41791,13040,,,,,,,
44375,247000000,,,,,,,
43733,423000000,,,,,,,
45916,30000000000,,,,,,,
41182,60000000,,,,,,,
44775,19750000000,,,,,,,
44594,41100000000,,,,,,,
43845,16340840,,,,,,,
44165,93000000,,,,,,,
45308,151000000,,,,,,,
42278,8209984,,,,,,,
43026,46400244,,,,,,,
45191,93000000,,,,,,,
43768,139000000,,,,,,,
43740,5400000,,,,,,,
45197,2.00E+11,,,,,,,
44942,1900000000,,,,,,,
45639,7000000000,,,,,,,
45355,2.50E+11,,,,,,,
44990,1000000000,,,,,,,
45133,1500000000,,,,,,,
45334,13000000000,,,,,,,
43767,406291456,,,,,,,
44519,3070000000,,,,,,,
44970,3070000000,,,,,,,
44795,1900000000,,,,,,,
43384,340000000,,,,,,,
43575,395000000,,,,,,,
44658,110000000,,,,,,,
42679,2600000,,,,,,,
44956,1480000000,,,,,,,
44753,1.76E+11,,,,,,,
45233,1.76E+11,,,,,,,
43770,247000000,,,,,,,
42170,13600000,,,,,,,
43823,928000000,,,,,,,
43291,77360000,,,,,,,
43291,77360000,,,,,,,
43650,86000000,,,,,,,
44206,8000000000,,,,,,,
44783,1.75E+11,,,,,,,
45015,50558868480,,,,,,,
44344,12900000000,,,,,,,
42162,17408,,,,,,,
44201,88600000,,,,,,,
44201,88600000,,,,,,,
42538,138000000,,,,,,,
40804,120620,,,,,,,
40804,120620,,,,,,,
40819,1388800,,,,,,,
45225,75000000,,,,,,,
43607,303000000,,,,,,,
44166,2600000000,,,,,,,
44190,45000000,,,,,,,
43929,907264,,,,,,,
44914,86000000,,,,,,,
45467,34000000000,,,,,,,
43779,335000000,,,,,,,
45226,6000000000,,,,,,,
44649,70000000000,,,,,,,
44356,2440000000,,,,,,,
44726,2100000000,,,,,,,
45063,11000000000,,,,,,,
45289,12400000000,,,,,,,
45066,16000000000,,,,,,,
44501,220000000,,,,,,,
44747,770000000,,,,,,,
44384,12000000000,,,,,,,
45274,18000000000,,,,,,,
45236,17000000000,,,,,,,
44710,9400000000,,,,,,,
44342,4000000000,,,,,,,
43967,118800000,,,,,,,
44124,1000000000,,,,,,,
43958,112700000,,,,,,,
44546,110000000,,,,,,,
44201,88600000,,,,,,,
44657,3500000000,,,,,,,
45378,1.32E+11,,,,,,,
42223,5006000,,,,,,,
44953,295000000,,,,,,,
43977,60000000,,,,,,,
45030,1140000000,,,,,,,
44718,750000000,,,,,,,
43070,121000000,,,,,,,
43070,121000000,,,,,,,
43070,121000000,,,,,,,
42680,564000000,,,,,,,
43616,1.00E+11,,,,,,,
44236,2676376,,,,,,,
44423,110000000,,,,,,,
41246,218896,,,,,,,
45075,2800000000,,,,,,,
41627,836096,,,,,,,
42060,1693362,,,,,,,
44357,1500000000,,,,,,,
44685,418000000,,,,,,,
44046,99000000,,,,,,,
40662,139808256,,,,,,,
42211,5006000,,,,,,,
44621,3200000000,,,,,,,
45460,2.36E+11,,,,,,,
45677,6.71E+11,,,,,,,
45805,6.71E+11,,,,,,,
45541,2.36E+11,,,,,,,
45650,6.71E+11,,,,,,,
45740,6.71E+11,,,,,,,
45988,6.85E+11,,,,,,,
42741,2500000,,,,,,,
44211,86000000,,,,,,,
44358,820000000,,,,,,,
42607,34000000,,,,,,,
44568,88000000,,,,,,,
44987,675000000,,,,,,,
45225,75000000,,,,,,,
44838,20240000,,,,,,,
45738,1100000000,,,,,,,
41246,218896,,,,,,,
41246,218896,,,,,,,
43740,5400000,,,,,,,
45593,5.00E+11,,,,,,,
42431,1500000,,,,,,,
44936,200000000,,,,,,,
41063,5594010,,,,,,,
41063,5594010,,,,,,,
43223,51000000,,,,,,,
41791,13040,,,,,,,
42465,1700000,,,,,,,
42961,19000000,,,,,,,
43913,335000000,,,,,,,
43132,94000000,,,,,,,
44356,2440000000,,,,,,,
43668,23000000,,,,,,,
44382,10000000000,,,,,,,
44553,2.60E+11,,,,,,,
45732,4.24E+11,,,,,,,
44196,247000000,,,,,,,
44049,340000000,,,,,,,
44561,10000000000,,,,,,,
44180,652400000,,,,,,,
44763,15000000000,,,,,,,
45468,98500000000,,,,,,,
44879,1011000000,,,,,,,
45635,32000000000,,,,,,,
45853,32000000000,,,,,,,
45732,4.24E+11,,,,,,,
45847,175000000,,,,,,,
45677,6.71E+11,,,,,,,
44039,77000000,,,,,,,
43613,480000000,,,,,,,
44370,208000000,,,,,,,
42727,814464,,,,,,,
45691,7000000000,,,,,,,
44496,15010300,,,,,,,
43875,220000000,,,,,,,
45820,720000000,,,,,,,
44442,1.37E+11,,,,,,,
43284,126001330,,,,,,,
45175,1.80E+11,,,,,,,
45000,40000000000,,,,,,,
43882,126000000,,,,,,,
40311,7082000,,,,,,,
45210,13000000000,,,,,,,
45206,13000000000,,,,,,,
43416,46000000,,,,,,,
43630,829000000,,,,,,,
44680,80000000000,,,,,,,
44854,5.40E+11,,,,,,,
44522,893000000,,,,,,,
44371,12427904,,,,,,,
41991,27000000,,,,,,,
41811,144496000,,,,,,,
43039,34000000,,,,,,,
45621,2500000000,,,,,,,
45274,18000000000,,,,,,,
44883,330000000,,,,,,,
42976,38000000,,,,,,,
44777,1.30E+11,,,,,,,
45874,3.55E+11,,,,,,,
45930,3.57E+11,,,,,,,
46013,3.58E+11,,,,,,,
46070,7.44E+11,,,,,,,
44543,1.20E+12,,,,,,,
42639,278000000,,,,,,,
45259,16240000,,,,,,,
44404,3472816,,,,,,,
43252,117000000,,,,,,,
43510,1500000000,,,,,,,
44708,355000000,,,,,,,
43979,1.75E+11,,,,,,,
45090,20000000000,,,,,,,
45197,2.00E+11,,,,,,,
45000,40000000000,,,,,,,
45000,40000000000,,,,,,,
44601,20000000000,,,,,,,
45125,2700000000,,,,,,,
43420,6000000000,,,,,,,
45283,11000000000,,,,,,,
45573,230000000,,,,,,,
44012,2300000000,,,,,,,
44881,1.20E+11,,,,,,,
42490,8970000,,,,,,,
44693,1180000000,,,,,,,
45279,1800000000,,,,,,,
45279,1800000000,,,,,,,
44845,25000000000,,,,,,,
44260,9431810048,,,,,,,
44125,335000000,,,,,,,
41640,120000000,,,,,,,
41640,120000000,,,,,,,
45069,7000000000,,,,,,,
41899,6797700,,,,,,,
44538,2.80E+11,,,,,,,
45705,3.00E+12,,,,,,,
45847,175000000,,,,,,,
45234,3.14E+11,,,,,,,
42717,44500000,,,,,,,
43497,764000,,,,,,,
45873,27000000,,,,,,,
41487,51609600,,,,,,,
40740,4878300,,,,,,,
44404,3472816,,,,,,,
45602,3.89E+11,,,,,,,
45727,5.60E+11,,,,,,,
44923,2700000000,,,,,,,
45104,6600000,,,,,,,
44449,2.04E+11,,,,,,,
46020,32000000000,,,,,,,
41703,239712,,,,,,,
43136,1600000,,,,,,,
45674,7000000000,,,,,,,
42993,11100000,,,,,,,
41628,784000,,,,,,,
45055,932000000,,,,,,,
44704,7762000000,,,,,,,
42340,23626728,,,,,,,
42423,56000000,,,,,,,
42423,56000000,,,,,,,
45025,6700000000,,,,,,,
45631,2000000000,,,,,,,
45057,13000000000,,,,,,,
44588,1300000000,,,,,,,
44588,1300000000,,,,,,,
44588,1300000000,,,,,,,
44875,1080000000,,,,,,,
45113,1.04E+11,,,,,,,
42926,44654504,,,,,,,
45167,13000000000,,,,,,,
45526,3.98E+11,,,,,,,
44419,1.78E+11,,,,,,,
46022,2.36E+11,,,,,,,
44158,125000000,,,,,,,
43523,2500000,,,,,,,
45849,1.00E+12,,,,,,,
45967,1.00E+12,,,,,,,
46055,1.04E+12,,,,,,,
40139,13729792,,,,,,,
40139,13729792,,,,,,,
40139,13729792,,,,,,,
44550,1450000000,,,,,,,
45000,40000000000,,,,,,,
42621,16600000,,,,,,,
44981,65200000000,,,,,,,
45033,13000000000,,,,,,,
45235,13000000000,,,,,,,
45510,72000000000,,,,,,,
44854,5.40E+11,,,,,,,
41950,142552000,,,,,,,
42498,138000000,,,,,,,
42999,50000000,,,,,,,
41161,102720000,,,,,,,
43367,2100000,,,,,,,
44106,483000000,,,,,,,
44602,1.37E+11,,,,,,,
43633,44100000,,,,,,,
45940,1.00E+12,,,,,,,
45125,2700000000,,,,,,,
45125,2700000000,,,,,,,
45400,70000000000,,,,,,,
45496,4.05E+11,,,,,,,
45559,10600000000,,,,,,,
45632,70000000000,,,,,,,
45752,2.00E+12,,,,,,,
45752,2.00E+12,,,,,,,
45752,2.00E+12,,,,,,,
45267,7000000000,,,,,,,
45901,5.60E+11,,,,,,,
44545,3000000000,,,,,,,
43749,50000000000,,,,,,,
44260,9431810048,,,,,,,
44443,1.35E+11,,,,,,,
45365,30000000000,,,,,,,
43804,21300000,,,,,,,
43804,21300000,,,,,,,
42625,3172117056,,,,,,,
44240,100000000,,,,,,,
42041,87048800,,,,,,,
43496,330000000,,,,,,,
44644,4000000000,,,,,,,
45261,23400000,,,,,,,
44600,227000000,,,,,,,
44511,632000000,,,,,,,
45489,7000000000,,,,,,,
45062,3.40E+11,,,,,,,
44336,17000000,,,,,,,
43858,2600000000,,,,,,,
45345,5.30E+11,,,,,,,
43725,3900000000,,,,,,,
43725,3900000000,,,,,,,
43725,3900000000,,,,,,,
44480,5.30E+11,,,,,,,
43409,2900000000,,,,,,,
43409,2900000000,,,,,,,
43914,225000000,,,,,,,
44256,480000000,,,,,,,
43384,340000000,,,,,,,
45870,72000000000,,,,,,,
44741,5.40E+11,,,,,,,
45957,2.29E+11,,,,,,,
46014,2.29E+11,,,,,,,
45497,1.23E+11,,,,,,,
45271,46700000000,,,,,,,
43782,375000000,,,,,,,
42758,8700000000,,,,,,,
42842,4200000,,,,,,,
43269,3400000,,,,,,,
43712,35000000,,,,,,,
44868,35000000,,,,,,,
45569,30000000000,,,,,,,
43788,36864000,,,,,,,
43419,7200000,,,,,,,
41420,206899200,,,,,,,
41813,126125568,,,,,,,
43580,2038431744,,,,,,,
45085,3359000000,,,,,,,
44952,860000000,,,,,,,
42679,2600000,,,,,,,
43957,23000000,,,,,,,
42937,89000000,,,,,,,
42679,2600000,,,,,,,
44748,54500000000,,,,,,,
40855,5000000,,,,,,,
43524,437700000,,,,,,,
41857,313856,,,,,,,
45631,2000000000,,,,,,,
45587,72000000000,,,,,,,
45587,72000000000,,,,,,,
45587,72000000000,,,,,,,
46092,1.20E+11,,,,,,,
46006,31600000000,,,,,,,
45245,8000000000,,,,,,,
45457,3.40E+11,,,,,,,
43780,480000000,,,,,,,
44941,2500000000,,,,,,,
44524,870000000,,,,,,,
45064,4000000000,,,,,,,
44683,1.75E+11,,,,,,,
42742,18200000,,,,,,,
45432,93000000,,,,,,,
45981,32000000000,,,,,,,
44764,670000000,,,,,,,
43950,7700000,,,,,,,
44584,420000000,,,,,,,
43812,159000000,,,,,,,
43812,159000000,,,,,,,
45456,7188100000,,,,,,,
45554,34000000000,,,,,,,
41629,144000000,,,,,,,
45978,2.35E+11,,,,,,,
44459,11000000000,,,,,,,
44305,27000000000,,,,,,,
45259,16240000,,,,,,,
44818,16900000000,,,,,,,
45216,5000000000,,,,,,,
45075,2800000000,,,,,,,
44655,5.40E+11,,,,,,,
45056,3.40E+11,,,,,,,
44991,5.62E+11,,,,,,,
45292,72000000000,,,,,,,
45574,1.50E+11,,,,,,,
45005,1.09E+12,,,,,,,
45757,1.35E+11,,,,,,,
45112,256000000,,,,,,,
41773,32000000,,,,,,,
44734,20000000000,,,,,,,
43869,27900000,,,,,,,
44445,149697024,,,,,,,
44839,1800000000,,,,,,,
45614,1.24E+11,,,,,,,
42639,278000000,,,,,,,
44618,2700000000,,,,,,,
42691,92000000,,,,,,,
40436,294912,,,,,,,
40436,294912,,,,,,,
41355,43000000,,,,,,,
44075,44000000,,,,,,,
44739,6400000000,,,,,,,
44320,420000000,,,,,,,
44320,420000000,,,,,,,
44602,1.37E+11,,,,,,,
42984,26000000,,,,,,,
43132,94000000,,,,,,,
45722,32500000000,,,,,,,
45873,27000000,,,,,,,
45260,72000000000,,,,,,,
45244,8460000000,,,,,,,
45162,9600000000,,,,,,,
45316,7000000000,,,,,,,
45326,72000000000,,,,,,,
45450,72710000000,,,,,,,
45554,34000000000,,,,,,,
45552,32500000000,,,,,,,
45554,34000000000,,,,,,,
45813,8000000000,,,,,,,
45776,2.35E+11,,,,,,,
45863,2.35E+11,,,,,,,
45863,2.35E+11,,,,,,,
45860,4.80E+11,,,,,,,
46055,1.04E+12,,,,,,,
45905,1.00E+12,,,,,,,
45922,35300000000,,,,,,,
46066,3.97E+11,,,,,,,
46077,1.22E+11,,,,,,,
41589,69003872,,,,,,,
45575,1200000000,,,,,,,
44599,7500000000,,,,,,,
40447,70265000,,,,,,,
41619,20000000000,,,,,,,
41244,9000000,,,,,,,
41812,26500000,,,,,,,
44908,35000000,,,,,,,
45135,55000000000,,,,,,,
45212,55000000000,,,,,,,
44245,1683456,,,,,,,
45380,3000000000,,,,,,,
40344,16210006,,,,,,,
41420,206899200,,,,,,,
45397,67000000000,,,,,,,
42690,83000000,,,,,,,
43222,829000000,,,,,,,
43587,193000000,,,,,,,
42690,83000000,,,,,,,
42630,10200000,,,,,,,
42348,44500000,,,,,,,
42348,44500000,,,,,,,
42348,44500000,,,,,,,
42954,33000000,,,,,,,
42954,33000000,,,,,,,
43973,626000000,,,,,,,
43647,355000000,,,,,,,
45238,110000000,,,,,,,
45181,500000,,,,,,,
43902,79500000,,,,,,,
44500,249000000,,,,,,,
42305,138000000,,,,,,,
44406,1300000000,,,,,,,
42983,28100000,,,,,,,
41976,62000000000,,,,,,,
45243,19900000000,,,,,,,
42671,409536,,,,,,,
43438,250000000,,,,,,,
41896,5000000,,,,,,,
44251,234000000,,,,,,,
44609,2.69E+11,,,,,,,
45657,100598707,,,,,,,
43779,335000000,,,,,,,
43550,110000000,,,,,,,
45268,2300000000,,,,,,,
45819,2.30E+11,,,,,,,
44641,257000000,,,,,,,
45021,636000000,,,,,,,
45479,6.00E+11,,,,,,,
41892,1920000000,,,,,,,
42919,2430000,,,,,,,
45012,400000000,,,,,,,
43874,375000000,,,,,,,
42604,5480000,,,,,,,
45229,13000000000,,,,,,,
46022,2.36E+11,,,,,,,
44665,9410000000,,,,,,,
42424,1200000,,,,,,,
44664,1450000000,,,,,,,
45344,8000000000,,,,,,,
45111,3400000000,,,,,,,
45055,932000000,,,,,,,
44622,774000000,,,,,,,
43446,26200000,,,,,,,
43802,30000000,,,,,,,
44368,1580000,,,,,,,
44368,1580000,,,,,,,
40179,1025,,,,,,,
45168,56804,,,,,,,
44518,3000000000,,,,,,,
44207,1.57E+12,,,,,,,
44533,5400000000,,,,,,,
43761,11000000000,,,,,,,
43761,11000000000,,,,,,,
41972,706048,,,,,,,
42100,18413568,,,,,,,
43889,33000000,,,,,,,
43146,42000,,,,,,,
42054,33500,,,,,,,
43869,27900000,,,,,,,
45511,185000,,,,,,,
45555,1.15E+11,,,,,,,
42441,138000000,,,,,,,
43907,85300000,,,,,,,
43868,66000000,,,,,,,
45958,30500000000,,,,,,,
44460,558000000,,,,,,,
44708,355000000,,,,,,,
41613,942000000,,,,,,,
42898,213000000,,,,,,,
43371,247000000,,,,,,,
43360,90000000,,,,,,,
43788,36864000,,,,,,,
43466,56000000,,,,,,,
44342,4000000000,,,,,,,
43474,257000000,,,,,,,
43572,257000000,,,,,,,
43796,141000000,,,,,,,
43620,257000000,,,,,,,
43901,151000000,,,,,,,
43388,180000000,,,,,,,
43563,7000000,,,,,,,
44467,2200000000,,,,,,,
43874,375000000,,,,,,,
40057,258800,,,,,,,
42142,37676160,,,,,,,
44854,5.40E+11,,,,,,,
43712,35000000,,,,,,,
44691,20000000000,,,,,,,
44279,11000000000,,,,,,,
43953,11000000000,,,,,,,
41102,1000000000,,,,,,,
46021,5.19E+11,,,,,,,
44931,353000000,,,,,,,
42678,51000000,,,,,,,
42005,138000000,,,,,,,
41886,138000000,,,,,,,
41886,138000000,,,,,,,
45272,13350839296,,,,,,,
45415,13493916736,,,,,,,
42354,66000000,,,,,,,
40713,255000,,,,,,,
44899,6000000000,,,,,,,
44967,21743000000,,,,,,,
44126,86000000,,,,,,,
44630,1843000000,,,,,,,
44355,1843000000,,,,,,,
44515,3005000000,,,,,,,
44126,86000000,,,,,,,
45014,1000000000,,,,,,,
45243,19900000000,,,,,,,
45271,46700000000,,,,,,,
44415,1000000000,,,,,,,
43563,7000000,,,,,,,
44825,1550000000,,,,,,,
41563,692000000,,,,,,,
41563,692000000,,,,,,,
44550,1450000000,,,,,,,
43617,665000000,,,,,,,
43774,550000000,,,,,,,
44425,10700000000,,,,,,,
43617,665000000,,,,,,,
42650,22855952,,,,,,,
42163,271684800,,,,,,,
44414,99100000,,,,,,,
42729,51000000,,,,,,,
43198,56933216,,,,,,,
45232,34000000000,,,,,,,
45425,1.00E+11,,,,,,,
44481,2.46E+11,,,,,,,
44419,1.78E+11,,,,,,,
43242,32000000,,,,,,,
44486,274000000,,,,,,,
44581,705134592,,,,,,,
44581,705134592,,,,,,,
