model,creator,inputPrice,outputPrice,contextWindow,sourceType
"1-bit Bonsai 1.7B","Prism ML",0,0,"32K",Open Weight
"1-bit Bonsai 4B","Prism ML",0,0,"32K",Open Weight
"1-bit Bonsai 8B","Prism ML",0,0,"64K",Open Weight
"Aion-2.0","Aion Labs",0.8,1.6,"128K",Proprietary
"Claude 3 Haiku","Anthropic",0.25,1.25,"200K",Proprietary
"Claude 3 Opus","Anthropic",15,75,"200K",Proprietary
"Claude 3.5 Sonnet","Anthropic",3,15,"200K",Proprietary
"Claude 4 Sonnet","Anthropic",3,15,"200K",Proprietary
"Claude 4.1 Opus","Anthropic",15,75,"200K",Proprietary
"Claude 4.1 Opus Thinking","Anthropic",,,"200K",Proprietary
"Claude Haiku 4.5","Anthropic",1,5,"200K",Proprietary
"Claude Mythos Preview","Anthropic",25,125,"1M",Proprietary
"Claude Opus 4.5","Anthropic",5,25,"200K",Proprietary
"Claude Opus 4.6","Anthropic",5,25,"1M",Proprietary
"Claude Opus 4.7","Anthropic",5,25,"1M",Proprietary
"Claude Opus 4.7 (Adaptive)","Anthropic",5,25,"1M",Proprietary
"Claude Sonnet 4.5","Anthropic",3,15,"200K",Proprietary
"Claude Sonnet 4.6","Anthropic",3,15,"200K",Proprietary
"Command A+","Cohere",2.5,10,"128K",Open Weight
"Composer 2","Cursor",0.5,2.5,"200K",Proprietary
"Composer 2.5","Cursor",0.5,2.5,"200K",Proprietary
"DBRX Instruct","Databricks",0,0,"32K",Open Weight
"DeepSeek Coder 2.0","DeepSeek",,,"128K",Open Weight
"DeepSeek LLM 2.0","DeepSeek",0,0,"128K",Open Weight
"DeepSeek R1","DeepSeek",0.55,2.19,"128K",Open Weight
"DeepSeek R1 Distill Qwen 32B","DeepSeek",0,0,"128K",Open Weight
"DeepSeek V3","DeepSeek",0.27,1.1,"128K",Open Weight
"DeepSeek V3.1","DeepSeek",0,0,"128K",Open Weight
"DeepSeek V3.1 (Reasoning)","DeepSeek",0,0,"128K",Open Weight
