cadence,mean_$M,std_$M,p05_$M,p95_$M
30d,95041.68342879118,0.9718641381133641,95040.1095370753,95042.96321221946
32d,94941.37091578577,0.9718641381102722,94939.79702406986,94942.65069921399
35d,94471.43212848104,0.9718641381128521,94469.85823676517,94472.71191190931
28d,94176.0144945683,0.9718641381120422,94174.44060285241,94177.29427799654
39d,92794.75328881419,0.9718641381142151,92793.1793970983,92796.03307224244
45d,90432.89767893526,0.9718641381142887,90431.32378721937,90434.17746236351
25d,90118.25018031176,0.9718641381109845,90116.67628859585,90119.52996373997
60d,85383.2590167765,0.9718641381125313,85381.68512506063,85384.53880020475
75d,82008.5572168005,0.9718641381242582,82006.9833250845,82009.83700022862
90d,79537.05044605728,0.9718641381139163,79535.47655434138,79538.33022948554
