cadence,mean_$M,std_$M,p05_$M,p95_$M
30d,95037.91198722976,0.9434450840965292,95036.3844724941,95039.15539274315
32d,94937.59947422428,0.9434450840946561,94936.07195948868,94938.8428797377
35d,94467.66068691961,0.9434450840978567,94466.13317218398,94468.90409243302
28d,94172.24305300685,0.9434450840952002,94170.71553827122,94173.48645852024
39d,92790.98184725271,0.9434450840973299,92789.4543325171,92792.22525276615
45d,90429.12623737381,0.9434450840960293,90427.59872263818,90430.36964288722
25d,90114.47873875027,0.9434450840969448,90112.95122401464,90115.72214426368
60d,85379.48757521507,0.9434450840967942,85377.96006047943,85380.73098072846
75d,82004.78577523923,0.9434450841488755,82003.2582605033,82006.02918075233
90d,79533.27900449584,0.9434450840973018,79531.75148976021,79534.52241000923
