cadence,mean_$M,std_$M,p05_$M,p95_$M
30d,95043.03120987515,0.9357908174041445,95041.51611829294,95044.26471118335
32d,94942.71869686969,0.9357908174007435,94941.20360528749,94943.95219817788
35d,94472.779909565,0.935790817403952,94471.2648179828,94474.0134108732
28d,94177.36227565224,0.9357908174015489,94175.84718407002,94178.59577696043
39d,92796.10106989813,0.9357908174039988,92794.58597831592,92797.33457120633
45d,90434.2454600192,0.9357908174028507,90432.73036843701,90435.47896132742
25d,90119.59796139566,0.9357908174033864,90118.08286981347,90120.83146270386
60d,85384.60679786046,0.935790817403828,85383.09170627824,85385.84029916863
75d,82009.90499788447,0.9357908174164519,82008.38990630212,82011.13849919253
90d,79538.39822714124,0.9357908174051534,79536.88313555902,79539.63172844943
