K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,76124.60442349948,2.330848151817918,100.0,76124.60442349948,2.330848151817918,76122.27357534766
1.0,0.6,76124.00442349947,1.730848151812097,100.0,76124.00442349947,1.730848151812097,76122.27357534766
2.0,1.2,76123.40442349948,1.1308481518208282,100.0,76123.40442349948,1.1308481518208282,76122.27357534766
2.5,1.5,76123.10442349948,0.8308481518179178,100.0,76123.10442349948,0.8308481518179178,76122.27357534766
3.0,1.8,76122.80442349947,0.5308481518150074,100.0,76122.80442349947,0.5308481518150074,76122.27357534766
3.5,2.1,76122.50442349947,0.23084815181209706,100.0,76122.50442349947,0.23084815181209706,76122.27357534766
4.0,2.4,76122.20442349948,-0.06915184817626141,0.0,76122.27357534766,0.0,76122.27357534766
6.0,3.6,76121.00442349947,-1.269151848187903,0.0,76122.27357534766,0.0,76122.27357534766
8.0,4.8,76119.80442349947,-2.4691518481849926,0.0,76122.27357534766,0.0,76122.27357534766
12.0,7.2,76117.40442349948,-4.869151848179172,0.0,76122.27357534766,0.0,76122.27357534766
