K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,76122.27357534766,1.6692884152795102,76119.58929454933,76124.34981685314,0.0
8.0,LMP + toll,0.0,3.884746919672277,76122.27357534766,1.6692884152795102,76119.58929454933,76124.34981685314,0.0
8.0,LMP + BESS Houston,,,76120.98983933752,1.6045061138255072,76118.41460935025,76122.96951924455,-1.2837360101402737
8.0,LMP + BESS West,,,76121.26566705115,1.588172053514702,76118.71717017671,76123.21180312362,-1.007908296509413
8.0,LMP + BESS both,,,76119.98193104102,1.5232514140130635,76117.54248497763,76121.83150551503,-2.291644306635135
8.0,LMP + toll + BESS Houston,0.0,3.884746919720783,76120.98983933752,1.6045061138255072,76118.41460935025,76122.96951924455,-1.2837360101402737
8.0,LMP + toll + BESS West,0.0,3.88474691969653,76121.26566705115,1.588172053514702,76118.71717017671,76123.21180312362,-1.007908296509413
8.0,LMP + toll + BESS both,0.0,3.884746919672277,76119.98193104102,1.5232514140130635,76117.54248497763,76121.83150551503,-2.291644306635135
5.0,LMP only,,,76122.27357534766,1.6692884152795102,76119.58929454933,76124.34981685314,0.0
5.0,LMP + toll,0.0,3.884746919672277,76122.27357534766,1.6692884152795102,76119.58929454933,76124.34981685314,0.0
5.0,LMP + BESS Houston,,,76120.98983933752,1.6045061138255072,76118.41460935025,76122.96951924455,-1.2837360101402737
5.0,LMP + BESS West,,,76121.26566705115,1.588172053514702,76118.71717017671,76123.21180312362,-1.007908296509413
5.0,LMP + BESS both,,,76119.98193104102,1.5232514140130635,76117.54248497763,76121.83150551503,-2.291644306635135
5.0,LMP + toll + BESS Houston,0.0,3.884746919720783,76120.98983933752,1.6045061138255072,76118.41460935025,76122.96951924455,-1.2837360101402737
5.0,LMP + toll + BESS West,0.0,3.88474691969653,76121.26566705115,1.588172053514702,76118.71717017671,76123.21180312362,-1.007908296509413
5.0,LMP + toll + BESS both,0.0,3.884746919672277,76119.98193104102,1.5232514140130635,76117.54248497763,76121.83150551503,-2.291644306635135
3.881,LMP only,,,76122.27357534766,1.6692884152795102,76119.58929454933,76124.34981685314,0.0
3.881,LMP + toll,60.0,3.884746919672277,76122.27925342451,1.5265540427215896,,,0.005678076850017533
3.881,LMP + BESS Houston,,,76120.98983933752,1.6045061138255072,76118.41460935025,76122.96951924455,-1.2837360101402737
3.881,LMP + BESS West,,,76121.26566705115,1.588172053514702,76118.71717017671,76123.21180312362,-1.007908296509413
3.881,LMP + BESS both,,,76119.98193104102,1.5232514140130635,76117.54248497763,76121.83150551503,-2.291644306635135
3.881,LMP + toll + BESS Houston,60.0,3.884746919720783,76120.99551741437,1.5265540427215896,,,-1.2780579332902562
3.881,LMP + toll + BESS West,60.0,3.88474691969653,76121.271345128,1.5265540427215896,,,-1.0022302196593955
3.881,LMP + toll + BESS both,60.0,3.884746919672277,76119.98760911787,1.5265540427215896,,,-2.2859662297851173
3.496,LMP only,,,76122.27357534766,1.6692884152795102,76119.58929454933,76124.34981685314,0.0
3.496,LMP + toll,100.0,3.884746919672277,76122.50682349948,1.4370625889653146,76120.15326516672,76124.28491583955,0.23324815182422753
3.496,LMP + BESS Houston,,,76120.98983933752,1.6045061138255072,76118.41460935025,76122.96951924455,-1.2837360101402737
3.496,LMP + BESS West,,,76121.26566705115,1.588172053514702,76118.71717017671,76123.21180312362,-1.007908296509413
3.496,LMP + BESS both,,,76119.98193104102,1.5232514140130635,76117.54248497763,76121.83150551503,-2.291644306635135
3.496,LMP + toll + BESS Houston,100.0,3.884746919720783,76121.22308748934,1.379490247124931,76118.97857996763,76122.94750752662,-1.0504878583160462
3.496,LMP + toll + BESS West,100.0,3.88474691969653,76121.49891520297,1.3550314305465787,76119.2811407941,76123.20101825689,-0.7746601446851855
3.496,LMP + toll + BESS both,100.0,3.884746919672277,76120.21517919285,1.297706815072339,76118.10645559501,76121.86733071628,-2.0583961548109073
