cadence,mean_$M,std_$M,p05_$M,p95_$M
95d,148091.71306155485,24.72687001995534,148018.95593354074,148101.58914537495
90d,144741.2191151001,24.726870019957886,144668.461987086,144751.09519892017
85d,141544.38554146417,24.7268700199567,141471.62841345006,141554.26162528427
75d,135563.90301849943,24.726870019950468,135491.14589048532,135573.77910231947
74d,134879.5207233386,24.72687001995238,134806.76359532445,134889.39680715863
63d,126268.87896036428,24.726870019954227,126196.12183235015,126278.75504418432
60d,123557.82834138854,24.72687001995184,123485.07121337441,123567.70442520856
45d,106455.98436054139,24.72687001995352,106383.22723252724,106465.86044436143
30d,76109.28884689623,24.726870019954173,76036.5317188821,76119.16493071629
25d,59071.56220182696,24.726870019951658,58998.80507381284,59081.43828564701
