K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
12.027,LMP only,,,76108.4157163113,41.63658590309433,75983.55881442229,76124.34981685314,0.0
12.027,LMP + toll,60.0,12.031058809686026,76108.42150666854,32.83430378735094,,,0.005790357245132327
12.027,LMP + BESS Houston,,,76107.5053106455,40.51195905299705,75985.68764431382,76122.96951924455,-0.9104056657961337
12.027,LMP + BESS West,,,76107.7806172762,40.52033395598365,75986.23711981777,76123.21180312362,-0.6350990350911161
12.027,LMP + BESS both,,,76106.87021161041,39.39573973374349,75988.36110123635,76121.83150551503,-1.5455047008872498
12.027,LMP + toll + BESS Houston,60.0,12.031058809734532,76107.51110100275,32.83430378735094,,,-0.9046153085510014
12.027,LMP + toll + BESS West,60.0,12.031058809710279,76107.78640763345,32.83430378735094,,,-0.6293086778459838
12.027,LMP + toll + BESS both,60.0,12.031058809710279,76106.87600196766,32.83430378735094,,,-1.5397143436421175
10.828,LMP only,,,76108.4157163113,41.63658590309433,75983.55881442229,76124.34981685314,0.0
10.828,LMP + toll,100.0,12.031058809686026,76109.13755159713,26.969245228571157,76029.65502823335,76119.88571583955,0.7218352858326398
10.828,LMP + BESS Houston,,,76107.5053106455,40.51195905299705,75985.68764431382,76122.96951924455,-0.9104056657961337
10.828,LMP + BESS West,,,76107.7806172762,40.52033395598365,75986.23711981777,76123.21180312362,-0.6350990350911161
10.828,LMP + BESS both,,,76106.87021161041,39.39573973374349,75988.36110123635,76121.83150551503,-1.5455047008872498
10.828,LMP + toll + BESS Houston,100.0,12.031058809734532,76108.22714593133,25.84364692097973,76032.06571950484,76118.54830752662,-0.1885703799634939
10.828,LMP + toll + BESS West,100.0,12.031058809710279,76108.50245256204,25.852483408517344,76032.41882301272,76118.80181825689,0.08673625074152369
10.828,LMP + toll + BESS both,100.0,12.031058809710279,76107.59204689624,24.726870019954173,76034.8349188821,76117.46813071628,-0.82366941505461
8.0,LMP only,,,76108.4157163113,41.63658590309433,75983.55881442229,76124.34981685314,0.0
8.0,LMP + toll,100.0,12.031058809686026,76110.83435159712,26.969245228571157,76031.35182823335,76121.58251583956,2.4186352858232567
8.0,LMP + BESS Houston,,,76107.5053106455,40.51195905299705,75985.68764431382,76122.96951924455,-0.9104056657961337
8.0,LMP + BESS West,,,76107.7806172762,40.52033395598365,75986.23711981777,76123.21180312362,-0.6350990350911161
8.0,LMP + BESS both,,,76106.87021161041,39.39573973374349,75988.36110123635,76121.83150551503,-1.5455047008872498
8.0,LMP + toll + BESS Houston,100.0,12.031058809734532,76109.92394593132,25.84364692097973,76033.76251950485,76120.24510752663,1.508229620027123
8.0,LMP + toll + BESS West,100.0,12.031058809710279,76110.19925256203,25.852483408517344,76034.11562301272,76120.4986182569,1.7835362507321406
8.0,LMP + toll + BESS both,100.0,12.031058809710279,76109.28884689623,24.726870019954173,76036.5317188821,76119.16493071629,0.8731305849360069
5.0,LMP only,,,76108.4157163113,41.63658590309433,75983.55881442229,76124.34981685314,0.0
5.0,LMP + toll,100.0,12.031058809686026,76112.63435159712,26.969245228571157,76033.15182823336,76123.38251583956,4.218635285826167
5.0,LMP + BESS Houston,,,76107.5053106455,40.51195905299705,75985.68764431382,76122.96951924455,-0.9104056657961337
5.0,LMP + BESS West,,,76107.7806172762,40.52033395598365,75986.23711981777,76123.21180312362,-0.6350990350911161
5.0,LMP + BESS both,,,76106.87021161041,39.39573973374349,75988.36110123635,76121.83150551503,-1.5455047008872498
5.0,LMP + toll + BESS Houston,100.0,12.031058809734532,76111.72394593133,25.84364692097973,76035.56251950485,76122.04510752663,3.3082296200300334
5.0,LMP + toll + BESS West,100.0,12.031058809710279,76111.99925256203,25.852483408517344,76035.91562301273,76122.2986182569,3.583536250735051
5.0,LMP + toll + BESS both,100.0,12.031058809710279,76111.08884689624,24.726870019954173,76038.33171888211,76120.96493071629,2.6731305849389173
