K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,76125.76755092993,2.264041961141629,100.0,76125.76755092993,2.264041961141629,76123.50350896879
1.0,0.6,76125.16755092992,1.6640419611358084,100.0,76125.16755092992,1.6640419611358084,76123.50350896879
2.0,1.2,76124.56755092993,1.0640419611445395,100.0,76124.56755092993,1.0640419611445395,76123.50350896879
2.5,1.5,76124.26755092993,0.7640419611416291,100.0,76124.26755092993,0.7640419611416291,76123.50350896879
3.0,1.8,76123.96755092993,0.46404196113871876,100.0,76123.96755092993,0.46404196113871876,76123.50350896879
3.5,2.1,76123.66755092992,0.16404196113580838,100.0,76123.66755092992,0.16404196113580838,76123.50350896879
4.0,2.4,76123.36755092994,-0.1359580388525501,0.0,76123.50350896879,0.0,76123.50350896879
6.0,3.6,76122.16755092992,-1.3359580388641916,0.0,76123.50350896879,0.0,76123.50350896879
8.0,4.8,76120.96755092993,-2.5359580388612812,0.0,76123.50350896879,0.0,76123.50350896879
12.0,7.2,76118.56755092993,-4.9359580388554605,0.0,76123.50350896879,0.0,76123.50350896879
