K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,76123.50350896879,1.6212128981855436,76120.89656758144,76125.52000993748,0.0
8.0,LMP + toll,0.0,3.773403268545129,76123.50350896879,1.6212128981855436,76120.89656758144,76125.52000993748,0.0
8.0,LMP + BESS Houston,,,76122.17040885685,1.5583001949549191,76119.66937158366,76124.0931360103,-1.3331001119368011
8.0,LMP + BESS West,,,76122.44007626569,1.5424484998904937,76119.96498536652,76124.33024314242,-1.0634327031002613
8.0,LMP + BESS both,,,76121.10697615375,1.479401305277538,76118.73778936877,76122.90336921524,-2.3965328150370624
8.0,LMP + toll + BESS Houston,0.0,3.773403268569382,76122.17040885685,1.5583001949549191,76119.66937158366,76124.0931360103,-1.3331001119368011
8.0,LMP + toll + BESS West,0.0,3.773403268545129,76122.44007626569,1.5424484998904937,76119.96498536652,76124.33024314242,-1.0634327031002613
8.0,LMP + toll + BESS both,0.0,3.773403268545129,76121.10697615375,1.479401305277538,76118.73778936877,76122.90336921524,-2.3965328150370624
5.0,LMP only,,,76123.50350896879,1.6212128981855436,76120.89656758144,76125.52000993748,0.0
5.0,LMP + toll,0.0,3.773403268545129,76123.50350896879,1.6212128981855436,76120.89656758144,76125.52000993748,0.0
5.0,LMP + BESS Houston,,,76122.17040885685,1.5583001949549191,76119.66937158366,76124.0931360103,-1.3331001119368011
5.0,LMP + BESS West,,,76122.44007626569,1.5424484998904937,76119.96498536652,76124.33024314242,-1.0634327031002613
5.0,LMP + BESS both,,,76121.10697615375,1.479401305277538,76118.73778936877,76122.90336921524,-2.3965328150370624
5.0,LMP + toll + BESS Houston,0.0,3.773403268569382,76122.17040885685,1.5583001949549191,76119.66937158366,76124.0931360103,-1.3331001119368011
5.0,LMP + toll + BESS West,0.0,3.773403268545129,76122.44007626569,1.5424484998904937,76119.96498536652,76124.33024314242,-1.0634327031002613
5.0,LMP + toll + BESS both,0.0,3.773403268545129,76121.10697615375,1.479401305277538,76118.73778936877,76122.90336921524,-2.3965328150370624
3.77,LMP only,,,76123.50350896879,1.6212128981855436,76120.89656758144,76125.52000993748,0.0
3.77,LMP + toll,60.0,3.773403268545129,76123.50899970933,1.48220548778962,,,0.005490740542882122
3.77,LMP + BESS Houston,,,76122.17040885685,1.5583001949549191,76119.66937158366,76124.0931360103,-1.3331001119368011
3.77,LMP + BESS West,,,76122.44007626569,1.5424484998904937,76119.96498536652,76124.33024314242,-1.0634327031002613
3.77,LMP + BESS both,,,76121.10697615375,1.479401305277538,76118.73778936877,76122.90336921524,-2.3965328150370624
3.77,LMP + toll + BESS Houston,60.0,3.773403268569382,76122.1758995974,1.48220548778962,,,-1.327609371393919
3.77,LMP + toll + BESS West,60.0,3.773403268545129,76122.44556700623,1.48220548778962,,,-1.0579419625573792
3.77,LMP + toll + BESS both,60.0,3.773403268545129,76121.1124668943,1.48220548778962,,,-2.3910420744941803
3.396,LMP only,,,76123.50350896879,1.6212128981855436,76120.89656758144,76125.52000993748,0.0
3.396,LMP + toll,100.0,3.773403268545129,76123.72995092993,1.3950416378938764,76121.44577497439,76125.45733745153,0.22644196114561055
3.396,LMP + BESS Houston,,,76122.17040885685,1.5583001949549191,76119.66937158366,76124.0931360103,-1.3331001119368011
3.396,LMP + BESS West,,,76122.44007626569,1.5424484998904937,76119.96498536652,76124.33024314242,-1.0634327031002613
3.396,LMP + BESS both,,,76121.10697615375,1.479401305277538,76118.73778936877,76122.90336921524,-2.3965328150370624
3.396,LMP + toll + BESS Houston,100.0,3.773403268569382,76122.396850818,1.3391450538442815,76120.21857897661,76124.07211360663,-1.1066581507911906
3.396,LMP + toll + BESS West,100.0,3.773403268545129,76122.66651822683,1.315387288372495,76120.5141927595,76124.32029701414,-0.8369907419546507
3.396,LMP + toll + BESS both,100.0,3.773403268545129,76121.3334181149,1.2597319687474051,76119.2869967617,76122.93868668335,-2.170090853891452
