K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,76116.79524137084,7.152241520278039,100.0,76116.79524137084,7.152241520278039,76109.64299985056
1.0,0.6,76116.19524137082,6.552241520257667,100.0,76116.19524137082,6.552241520257667,76109.64299985056
2.0,1.2,76115.59524137083,5.952241520266398,100.0,76115.59524137083,5.952241520266398,76109.64299985056
2.5,1.5,76115.29524137084,5.652241520278039,100.0,76115.29524137084,5.652241520278039,76109.64299985056
3.0,1.8,76114.99524137082,5.352241520260577,100.0,76114.99524137082,5.352241520260577,76109.64299985056
3.5,2.1,76114.69524137082,5.052241520257667,100.0,76114.69524137082,5.052241520257667,76109.64299985056
4.0,2.4,76114.39524137083,4.752241520269308,100.0,76114.39524137083,4.752241520269308,76109.64299985056
6.0,3.6,76113.19524137082,3.5522415202576667,100.0,76113.19524137082,3.5522415202576667,76109.64299985056
8.0,4.8,76111.99524137082,2.352241520260577,100.0,76111.99524137082,2.352241520260577,76109.64299985056
12.0,7.2,76109.59524137083,-0.047758479733602144,0.0,76109.64299985056,0.0,76109.64299985056
