cadence,mean_$M,std_$M,p05_$M,p95_$M
95d,148092.7693293203,24.730506956669263,148019.96800696486,148102.60050134195
90d,144742.27538286554,24.730506956669814,144669.4740605101,144752.10655488717
85d,141545.44180922958,24.730506956666304,141472.64048687418,141555.2729812513
75d,135564.95928626484,24.730506956671633,135492.15796390938,135574.79045828656
74d,134880.576991104,24.730506956672127,134807.77566874854,134890.40816312568
63d,126269.93522812967,24.730506956672194,126197.13390577424,126279.76640015138
60d,123558.88460915395,24.730506956669437,123486.08328679852,123568.71578117563
45d,106457.04062830677,24.730506956668666,106384.23930595134,106466.87180032849
30d,76110.34511466164,24.730506956673025,76037.5437923062,76120.17628668335
25d,59072.61846959237,24.73050695667115,58999.81714723694,59082.44964161406
