K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
11.917,LMP only,,,76109.64299985056,41.641863347036704,75984.73460336035,76125.52000993748,0.0
11.917,LMP + toll,60.0,11.92040253377248,76109.64849032658,32.838989485461624,,,0.005490476018167101
11.917,LMP + BESS Houston,,,76108.68335702509,40.51706314945021,75986.86601554167,76124.0931360103,-0.9596428254735656
11.917,LMP + BESS West,,,76108.95251596687,40.52520245320973,75987.35874616838,76124.33024314242,-0.6904838836926501
11.917,LMP + BESS both,,,76107.99287314138,39.40043477431662,75989.43585651928,76122.90336921524,-1.6501267091807676
11.917,LMP + toll + BESS Houston,60.0,11.92040253377248,76108.68884750111,32.838989485461624,,,-0.9541523494553985
11.917,LMP + toll + BESS West,60.0,11.920402533748227,76108.95800644289,32.838989485461624,,,-0.684993407674483
11.917,LMP + toll + BESS both,60.0,11.92040253377248,76107.9983636174,32.838989485461624,,,-1.6446362331626005
10.728,LMP only,,,76109.64299985056,41.641863347036704,75984.73460336035,76125.52000993748,0.0
10.728,LMP + toll,100.0,11.92040253377248,76110.35844137084,26.97346117980797,76030.82511639502,76121.05813745153,0.7154415202821838
10.728,LMP + BESS Houston,,,76108.68335702509,40.51706314945021,75986.86601554167,76124.0931360103,-0.9596428254735656
10.728,LMP + BESS West,,,76108.95251596687,40.52520245320973,75987.35874616838,76124.33024314242,-0.6904838836926501
10.728,LMP + BESS both,,,76107.99287314138,39.40043477431662,75989.43585651928,76122.90336921524,-1.6501267091807676
10.728,LMP + toll + BESS Houston,100.0,11.92040253377248,76109.39879854537,25.847675647919758,76033.19102812027,76119.67291360663,-0.24420130519138183
10.728,LMP + toll + BESS West,100.0,11.920402533748227,76109.66795748715,25.856307599204765,76033.53606740838,76119.92109701414,0.02495763658953365
10.728,LMP + toll + BESS both,100.0,11.92040253377248,76108.70831466166,24.730506956673025,76035.9069923062,76118.53948668335,-0.9346851888985839
8.0,LMP only,,,76109.64299985056,41.641863347036704,75984.73460336035,76125.52000993748,0.0
8.0,LMP + toll,100.0,11.92040253377248,76111.99524137084,26.97346117980797,76032.46191639501,76122.69493745152,2.352241520275129
8.0,LMP + BESS Houston,,,76108.68335702509,40.51706314945021,75986.86601554167,76124.0931360103,-0.9596428254735656
8.0,LMP + BESS West,,,76108.95251596687,40.52520245320973,75987.35874616838,76124.33024314242,-0.6904838836926501
8.0,LMP + BESS both,,,76107.99287314138,39.40043477431662,75989.43585651928,76122.90336921524,-1.6501267091807676
8.0,LMP + toll + BESS Houston,100.0,11.92040253377248,76111.03559854536,25.847675647919758,76034.82782812027,76121.30971360662,1.3925986948015634
8.0,LMP + toll + BESS West,100.0,11.920402533748227,76111.30475748715,25.856307599204765,76035.17286740837,76121.55789701414,1.6617576365824789
8.0,LMP + toll + BESS both,100.0,11.92040253377248,76110.34511466166,24.730506956673025,76037.5437923062,76120.17628668335,0.7021148110943614
5.0,LMP only,,,76109.64299985056,41.641863347036704,75984.73460336035,76125.52000993748,0.0
5.0,LMP + toll,100.0,11.92040253377248,76113.79524137084,26.97346117980797,76034.26191639501,76124.49493745153,4.152241520278039
5.0,LMP + BESS Houston,,,76108.68335702509,40.51706314945021,75986.86601554167,76124.0931360103,-0.9596428254735656
5.0,LMP + BESS West,,,76108.95251596687,40.52520245320973,75987.35874616838,76124.33024314242,-0.6904838836926501
5.0,LMP + BESS both,,,76107.99287314138,39.40043477431662,75989.43585651928,76122.90336921524,-1.6501267091807676
5.0,LMP + toll + BESS Houston,100.0,11.92040253377248,76112.83559854537,25.847675647919758,76036.62782812027,76123.10971360662,3.192598694804474
5.0,LMP + toll + BESS West,100.0,11.920402533748227,76113.10475748715,25.856307599204765,76036.97286740837,76123.35789701414,3.4617576365853893
5.0,LMP + toll + BESS both,100.0,11.92040253377248,76112.14511466166,24.730506956673025,76039.3437923062,76121.97628668335,2.5021148110972717
