K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,76123.91348824746,1.6051883484087444,76121.33232524576,76125.91008193998,0.0
8.0,LMP + toll,0.0,3.681371624697931,76123.91348824746,1.6051883484087444,76121.33232524576,76125.91008193998,0.0
8.0,LMP + BESS Houston,,,76122.56393344201,1.5428988326654296,76120.08762565028,76124.46768258997,-1.3495548054488609
8.0,LMP + BESS West,,,76122.83154932316,1.5272081711785892,76120.38092523343,76124.70306588897,-1.081938924296992
8.0,LMP + BESS both,,,76121.48199451773,1.4647854495355357,76119.13622563795,76123.26066653896,-2.431493729731301
8.0,LMP + toll + BESS Houston,0.0,3.681371624697931,76122.56393344201,1.5428988326654296,76120.08762565028,76124.46768258997,-1.3495548054488609
8.0,LMP + toll + BESS West,0.0,3.6813716247221846,76122.83154932316,1.5272081711785892,76120.38092523343,76124.70306588897,-1.081938924296992
8.0,LMP + toll + BESS both,0.0,3.681371624697931,76121.48199451773,1.4647854495355357,76119.13622563795,76123.26066653896,-2.431493729731301
5.0,LMP only,,,76123.91348824746,1.6051883484087444,76121.33232524576,76125.91008193998,0.0
5.0,LMP + toll,0.0,3.681371624697931,76123.91348824746,1.6051883484087444,76121.33232524576,76125.91008193998,0.0
5.0,LMP + BESS Houston,,,76122.56393344201,1.5428988326654296,76120.08762565028,76124.46768258997,-1.3495548054488609
5.0,LMP + BESS West,,,76122.83154932316,1.5272081711785892,76120.38092523343,76124.70306588897,-1.081938924296992
5.0,LMP + BESS both,,,76121.48199451773,1.4647854495355357,76119.13622563795,76123.26066653896,-2.431493729731301
5.0,LMP + toll + BESS Houston,0.0,3.681371624697931,76122.56393344201,1.5428988326654296,76120.08762565028,76124.46768258997,-1.3495548054488609
5.0,LMP + toll + BESS West,0.0,3.6813716247221846,76122.83154932316,1.5272081711785892,76120.38092523343,76124.70306588897,-1.081938924296992
5.0,LMP + toll + BESS both,0.0,3.681371624697931,76121.48199451773,1.4647854495355357,76119.13622563795,76123.26066653896,-2.431493729731301
3.678,LMP only,,,76123.91348824746,1.6051883484087444,76121.33232524576,76125.91008193998,0.0
3.678,LMP + toll,60.0,3.681371624697931,76123.91890963353,1.4690854955112538,,,0.00542138607124798
3.678,LMP + BESS Houston,,,76122.56393344201,1.5428988326654296,76120.08762565028,76124.46768258997,-1.3495548054488609
3.678,LMP + BESS West,,,76122.83154932316,1.5272081711785892,76120.38092523343,76124.70306588897,-1.081938924296992
3.678,LMP + BESS both,,,76121.48199451773,1.4647854495355357,76119.13622563795,76123.26066653896,-2.431493729731301
3.678,LMP + toll + BESS Houston,60.0,3.681371624697931,76122.56935482808,1.4690854955112538,,,-1.3441334193776129
3.678,LMP + toll + BESS West,60.0,3.6813716247221846,76122.83697070924,1.4690854955112538,,,-1.076517538225744
3.678,LMP + toll + BESS both,60.0,3.681371624697931,76121.4874159038,1.4690854955112538,,,-2.426072343660053
3.313,LMP only,,,76123.91348824746,1.6051883484087444,76121.33232524576,76125.91008193998,0.0
3.313,LMP + toll,100.0,3.681371624697931,76124.13451122228,1.3837652390100172,76121.86894401416,76125.84786555417,0.22102297481615096
3.313,LMP + BESS Houston,,,76122.56393344201,1.5428988326654296,76120.08762565028,76124.46768258997,-1.3495548054488609
3.313,LMP + BESS West,,,76122.83154932316,1.5272081711785892,76120.38092523343,76124.70306588897,-1.081938924296992
3.313,LMP + BESS both,,,76121.48199451773,1.4647854495355357,76119.13622563795,76123.26066653896,-2.431493729731301
3.313,LMP + toll + BESS Houston,100.0,3.681371624697931,76122.78495641683,1.3283661006657663,76120.62424441866,76124.44670320429,-1.12853183063271
3.313,LMP + toll + BESS West,100.0,3.6813716247221846,76123.05257229798,1.304926210734226,76120.91754400183,76124.69287292408,-0.8609159494808409
3.313,LMP + toll + BESS both,100.0,3.681371624697931,76121.70301749255,1.2497628243987775,76119.67284440635,76123.29528833502,-2.21047075491515
