K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,76117.149278432,7.097182663448621,100.0,76117.149278432,7.097182663448621,76110.05209576855
1.0,0.6,76116.549278432,6.4971826634428,100.0,76116.549278432,6.4971826634428,76110.05209576855
2.0,1.2,76115.949278432,5.897182663451531,100.0,76115.949278432,5.897182663451531,76110.05209576855
2.5,1.5,76115.649278432,5.597182663448621,100.0,76115.649278432,5.597182663448621,76110.05209576855
3.0,1.8,76115.34927843201,5.297182663460262,100.0,76115.34927843201,5.297182663460262,76110.05209576855
3.5,2.1,76115.049278432,4.9971826634428,100.0,76115.049278432,4.9971826634428,76110.05209576855
4.0,2.4,76114.749278432,4.697182663454441,100.0,76114.749278432,4.697182663454441,76110.05209576855
6.0,3.6,76113.549278432,3.4971826634428,100.0,76113.549278432,3.4971826634428,76110.05209576855
8.0,4.8,76112.34927843201,2.297182663460262,100.0,76112.34927843201,2.297182663460262,76110.05209576855
12.0,7.2,76109.949278432,-0.10281733654846903,0.0,76110.05209576855,0.0,76110.05209576855
