cadence,mean_$M,std_$M,p05_$M,p95_$M
95d,148093.08849427896,24.73207496851584,148020.27436525092,148102.9073029936
90d,144742.5945478242,24.732074968522173,144669.78041879614,144752.41335653886
85d,141545.7609741883,24.732074968522394,141472.94684516024,141555.57978290296
75d,135565.27845122354,24.73207496852477,135492.46432219545,135575.09725993822
74d,134880.8961560627,24.73207496852434,134808.0820270346,134890.71496477738
63d,126270.25439308837,24.732074968523985,126197.44026406031,126280.07320180307
60d,123559.20377411263,24.732074968522237,123486.38964508458,123569.02258282733
45d,106457.35979326548,24.73207496852423,106384.5456642374,106467.17860198017
30d,76110.66427962035,24.732074968524984,76037.85015059226,76120.48308833502
25d,59072.93763455107,24.732074968523975,59000.12350552299,59082.756443265745
