K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
11.825,LMP only,,,76110.05209576855,41.64363557004699,75985.12653301567,76125.91008193998,0.0
11.825,LMP + toll,60.0,11.828637772438622,76110.05761296781,32.84075178594582,,,0.00551719925715588
11.825,LMP + BESS Houston,,,76109.07604056357,40.51877695345071,75987.25880593073,76124.46768258997,-0.976055204984732
11.825,LMP + BESS West,,,76109.34315216189,40.52683753372189,75987.73262307214,76124.70306588897,-0.7089436066598864
11.825,LMP + BESS both,,,76108.36709695689,39.40201140465953,75989.79410973522,76123.26066653896,-1.6849988116591703
11.825,LMP + toll + BESS Houston,60.0,11.828637772390115,76109.08155776282,32.84075178594582,,,-0.9705380057275761
11.825,LMP + toll + BESS West,60.0,11.828637772414368,76109.34866936115,32.84075178594582,,,-0.7034264074027305
11.825,LMP + toll + BESS both,60.0,11.828637772438622,76108.37261415615,32.84075178594582,,,-1.6794816124020144
10.646,LMP only,,,76110.05209576855,41.64363557004699,75985.12653301567,76125.91008193998,0.0
10.646,LMP + toll,100.0,11.828637772438622,76110.761678432,26.975227045733703,76031.21344048376,76121.44806555417,0.7095826634467812
10.646,LMP + BESS Houston,,,76109.07604056357,40.51877695345071,75987.25880593073,76124.46768258997,-0.976055204984732
10.646,LMP + BESS West,,,76109.34315216189,40.52683753372189,75987.73262307214,76124.70306588897,-0.7089436066598864
10.646,LMP + BESS both,,,76108.36709695689,39.40201140465953,75989.79410973522,76123.26066653896,-1.6849988116591703
10.646,LMP + toll + BESS Houston,100.0,11.828637772390115,76109.78562322701,25.849376164495148,76033.56432999647,76120.04690320429,-0.26647254153795075
10.646,LMP + toll + BESS West,100.0,11.828637772414368,76110.05273482534,25.857941108840407,76033.90677844443,76120.29307292408,0.0006390567868947983
10.646,LMP + toll + BESS both,100.0,11.828637772438622,76109.07667962034,24.732074968524984,76036.26255059226,76118.89548833502,-0.9754161482123891
8.0,LMP only,,,76110.05209576855,41.64363557004699,75985.12653301567,76125.91008193998,0.0
8.0,LMP + toll,100.0,11.828637772438622,76112.349278432,26.975227045733703,76032.80104048376,76123.03566555417,2.29718266344571
8.0,LMP + BESS Houston,,,76109.07604056357,40.51877695345071,75987.25880593073,76124.46768258997,-0.976055204984732
8.0,LMP + BESS West,,,76109.34315216189,40.52683753372189,75987.73262307214,76124.70306588897,-0.7089436066598864
8.0,LMP + BESS both,,,76108.36709695689,39.40201140465953,75989.79410973522,76123.26066653896,-1.6849988116591703
8.0,LMP + toll + BESS Houston,100.0,11.828637772390115,76111.37322322701,25.849376164495148,76035.15192999647,76121.63450320429,1.3211274584609782
8.0,LMP + toll + BESS West,100.0,11.828637772414368,76111.64033482534,25.857941108840407,76035.49437844443,76121.88067292408,1.5882390567858238
8.0,LMP + toll + BESS both,100.0,11.828637772438622,76110.66427962034,24.732074968524984,76037.85015059226,76120.48308833502,0.6121838517865399
5.0,LMP only,,,76110.05209576855,41.64363557004699,75985.12653301567,76125.91008193998,0.0
5.0,LMP + toll,100.0,11.828637772438622,76114.149278432,26.975227045733703,76034.60104048376,76124.83566555417,4.097182663448621
5.0,LMP + BESS Houston,,,76109.07604056357,40.51877695345071,75987.25880593073,76124.46768258997,-0.976055204984732
5.0,LMP + BESS West,,,76109.34315216189,40.52683753372189,75987.73262307214,76124.70306588897,-0.7089436066598864
5.0,LMP + BESS both,,,76108.36709695689,39.40201140465953,75989.79410973522,76123.26066653896,-1.6849988116591703
5.0,LMP + toll + BESS Houston,100.0,11.828637772390115,76113.17322322702,25.849376164495148,76036.95192999647,76123.43450320429,3.1211274584638886
5.0,LMP + toll + BESS West,100.0,11.828637772414368,76113.44033482534,25.857941108840407,76037.29437844444,76123.68067292408,3.388239056788734
5.0,LMP + toll + BESS both,100.0,11.828637772438622,76112.46427962034,24.732074968524984,76039.65015059226,76122.28308833503,2.4121838517894503
