K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,76125.54074979243,2.2422303172934335,100.0,76125.54074979243,2.2422303172934335,76123.29851947514
1.0,0.6,76124.94074979243,1.6422303172876127,100.0,76124.94074979243,1.6422303172876127,76123.29851947514
2.0,1.2,76124.34074979243,1.0422303172963439,100.0,76124.34074979243,1.0422303172963439,76123.29851947514
2.5,1.5,76124.04074979243,0.7422303172934335,100.0,76124.04074979243,0.7422303172934335,76123.29851947514
3.0,1.8,76123.74074979243,0.4422303172905231,100.0,76123.74074979243,0.4422303172905231,76123.29851947514
3.5,2.1,76123.44074979243,0.1422303172876127,100.0,76123.44074979243,0.1422303172876127,76123.29851947514
4.0,2.4,76123.14074979244,-0.15776968270074576,0.0,76123.29851947514,0.0,76123.29851947514
6.0,3.6,76121.94074979243,-1.3577696827123873,0.0,76123.29851947514,0.0,76123.29851947514
8.0,4.8,76120.74074979243,-2.557769682709477,0.0,76123.29851947514,0.0,76123.29851947514
12.0,7.2,76118.34074979243,-4.957769682703656,0.0,76123.29851947514,0.0,76123.29851947514
