cadence,mean_$M,std_$M,p05_$M,p95_$M
95d,148100.78591249828,1.268742378771892,148098.72460372414,148102.401634343
90d,144750.29196604356,1.2687423787695762,144748.23065726936,144751.90768788825
85d,141553.45839240763,1.268742378774225,141551.39708363346,141555.07411425235
75d,135572.97586944286,1.2687423787721537,135570.9145606687,135574.59159128755
74d,134888.59357428201,1.2687423787746477,134886.53226550785,134890.20929612673
63d,126277.95181130775,1.26874237877351,126275.89050253356,126279.56753315243
60d,123566.90119233196,1.2687423787753398,123564.8398835578,123568.51691417667
45d,106465.05721148482,1.2687423787737322,106462.99590271065,106466.67293332952
30d,76118.36169783967,1.2687423787742653,76116.30038906551,76119.9774196844
25d,59080.635052770405,1.2687423787757246,59078.57374399623,59082.25077461511
