K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,76123.29851947514,1.629225201473422,76120.67868874726,76125.3249744841,0.0
8.0,LMP + toll,0.0,3.7370505288466425,76123.29851947514,1.629225201473422,76120.67868874726,76125.3249744841,0.0
8.0,LMP + BESS Houston,,,76121.97364671173,1.5660009052382218,76119.46024454909,76123.90586326705,-1.3248727634054376
8.0,LMP + BESS West,,,76122.2443402858,1.550068715500161,76119.75701580619,76124.14383256072,-1.0541791893338086
8.0,LMP + BESS both,,,76120.91946752238,1.4867092867829936,76118.53857160802,76122.72472134365,-2.379051952753798
8.0,LMP + toll + BESS Houston,0.0,3.7370505288223894,76121.97364671173,1.5660009052382218,76119.46024454909,76123.90586326705,-1.3248727634054376
8.0,LMP + toll + BESS West,0.0,3.737050528798136,76122.2443402858,1.550068715500161,76119.75701580619,76124.14383256072,-1.0541791893338086
8.0,LMP + toll + BESS both,0.0,3.7370505288223894,76120.91946752238,1.4867092867829936,76118.53857160802,76122.72472134365,-2.379051952753798
5.0,LMP only,,,76123.29851947514,1.629225201473422,76120.67868874726,76125.3249744841,0.0
5.0,LMP + toll,0.0,3.7370505288466425,76123.29851947514,1.629225201473422,76120.67868874726,76125.3249744841,0.0
5.0,LMP + BESS Houston,,,76121.97364671173,1.5660009052382218,76119.46024454909,76123.90586326705,-1.3248727634054376
5.0,LMP + BESS West,,,76122.2443402858,1.550068715500161,76119.75701580619,76124.14383256072,-1.0541791893338086
5.0,LMP + BESS both,,,76120.91946752238,1.4867092867829936,76118.53857160802,76122.72472134365,-2.379051952753798
5.0,LMP + toll + BESS Houston,0.0,3.7370505288223894,76121.97364671173,1.5660009052382218,76119.46024454909,76123.90586326705,-1.3248727634054376
5.0,LMP + toll + BESS West,0.0,3.737050528798136,76122.2443402858,1.550068715500161,76119.75701580619,76124.14383256072,-1.0541791893338086
5.0,LMP + toll + BESS both,0.0,3.7370505288223894,76120.91946752238,1.4867092867829936,76118.53857160802,76122.72472134365,-2.379051952753798
3.733,LMP only,,,76123.29851947514,1.629225201473422,76120.67868874726,76125.3249744841,0.0
3.733,LMP + toll,60.0,3.7370505288466425,76123.30421886801,1.491256018405419,,,0.00569939287379384
3.733,LMP + BESS Houston,,,76121.97364671173,1.5660009052382218,76119.46024454909,76123.90586326705,-1.3248727634054376
3.733,LMP + BESS West,,,76122.2443402858,1.550068715500161,76119.75701580619,76124.14383256072,-1.0541791893338086
3.733,LMP + BESS both,,,76120.91946752238,1.4867092867829936,76118.53857160802,76122.72472134365,-2.379051952753798
3.733,LMP + toll + BESS Houston,60.0,3.7370505288223894,76121.9793461046,1.491256018405419,,,-1.3191733705316437
3.733,LMP + toll + BESS West,60.0,3.737050528798136,76122.25003967868,1.491256018405419,,,-1.0484797964600148
3.733,LMP + toll + BESS both,60.0,3.7370505288223894,76120.92516691526,1.491256018405419,,,-2.3733525598800043
3.363,LMP only,,,76123.29851947514,1.629225201473422,76120.67868874726,76125.3249744841,0.0
3.363,LMP + toll,100.0,3.7370505288466425,76123.52294979243,1.404767998495693,76121.22270620475,76125.2616636765,0.22443031729198992
3.363,LMP + BESS Houston,,,76121.97364671173,1.5660009052382218,76119.46024454909,76123.90586326705,-1.3248727634054376
3.363,LMP + BESS West,,,76122.2443402858,1.550068715500161,76119.75701580619,76124.14383256072,-1.0541791893338086
3.363,LMP + BESS both,,,76120.91946752238,1.4867092867829936,76118.53857160802,76122.72472134365,-2.379051952753798
3.363,LMP + toll + BESS Houston,100.0,3.7370505288223894,76122.19807702902,1.348531211015709,76120.00426200658,76123.88440908403,-1.1004424461134477
3.363,LMP + toll + BESS West,100.0,3.737050528798136,76122.4687706031,1.3247401721313303,76120.30103326366,76124.13324288554,-0.8297488720418187
3.363,LMP + toll + BESS both,100.0,3.7370505288223894,76121.14389783968,1.268742378774265,76119.08258906551,76122.7596196844,-2.154621635461808
