K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,76116.5688358732,7.130383835959947,100.0,76116.5688358732,7.130383835959947,76109.43845203724
1.0,0.6,76115.96883587321,6.530383835968678,100.0,76115.96883587321,6.530383835968678,76109.43845203724
2.0,1.2,76115.36883587322,5.930383835977409,100.0,76115.36883587322,5.930383835977409,76109.43845203724
2.5,1.5,76115.0688358732,5.630383835959947,100.0,76115.0688358732,5.630383835959947,76109.43845203724
3.0,1.8,76114.76883587323,5.33038383598614,100.0,76114.76883587323,5.33038383598614,76109.43845203724
3.5,2.1,76114.46883587321,5.030383835968678,100.0,76114.46883587321,5.030383835968678,76109.43845203724
4.0,2.4,76114.16883587322,4.730383835980319,100.0,76114.16883587322,4.730383835980319,76109.43845203724
6.0,3.6,76112.96883587321,3.530383835968678,100.0,76112.96883587321,3.530383835968678,76109.43845203724
8.0,4.8,76111.76883587323,2.33038383598614,100.0,76111.76883587323,2.33038383598614,76109.43845203724
12.0,7.2,76109.36883587322,-0.06961616402259097,0.0,76109.43845203724,0.0,76109.43845203724
