cadence,mean_$M,std_$M,p05_$M,p95_$M
95d,148092.56036027317,24.730247632180948,148019.76828956287,148102.401634343
90d,144742.06641381842,24.730247632180205,144669.27434310812,144751.90768788825
85d,141545.23284018252,24.73024763217656,141472.44076947222,141555.07411425235
75d,135564.75031721775,24.73024763217702,135491.95824650745,135574.59159128755
74d,134880.3680220569,24.730247632178507,134807.5759513466,134890.20929612673
63d,126269.72625908263,24.73024763217904,126196.93418837231,126279.56753315243
60d,123558.67564010686,24.7302476321758,123485.88356939657,123568.51691417667
45d,106456.8316592597,24.730247632178656,106384.03958854939,106466.67293332952
30d,76110.13614561457,24.730247632180095,76037.34407490425,76119.9774196844
25d,59072.4095005453,24.730247632177587,58999.61742983499,59082.25077461511
