K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
11.88,LMP only,,,76109.43845203724,41.6409796468182,75984.53863853525,76125.3249744841,0.0
11.88,LMP + toll,60.0,11.883973059981752,76109.44412354133,32.838395635840364,,,0.00567150408460293
11.88,LMP + BESS Houston,,,76108.48701540325,40.51620853858043,75986.66962032297,76123.90586326705,-0.9514366339863045
11.88,LMP + BESS West,,,76108.75719841261,40.52438716330003,75987.17180798625,76124.14383256072,-0.6812536246288801
11.88,LMP + BESS both,,,76107.80576177861,39.39964859034105,75989.25673018646,76122.72472134365,-1.6326902586297365
11.88,LMP + toll + BESS Houston,60.0,11.883973059933245,76108.49268690734,32.838395635840364,,,-0.9457651299017016
11.88,LMP + toll + BESS West,60.0,11.883973059933245,76108.7628699167,32.838395635840364,,,-0.6755821205442771
11.88,LMP + toll + BESS both,60.0,11.883973059933245,76107.8114332827,32.838395635840364,,,-1.6270187545451336
10.696,LMP only,,,76109.43845203724,41.6409796468182,75984.53863853525,76125.3249744841,0.0
10.696,LMP + toll,100.0,11.883973059981752,76110.1512358732,26.973108195291807,76030.62836272841,76120.8618636765,0.7127838359592715
10.696,LMP + BESS Houston,,,76108.48701540325,40.51620853858043,75986.66962032297,76123.90586326705,-0.9514366339863045
10.696,LMP + BESS West,,,76108.75719841261,40.52438716330003,75987.17180798625,76124.14383256072,-0.6812536246288801
10.696,LMP + BESS both,,,76107.80576177861,39.39964859034105,75989.25673018646,76122.72472134365,-1.6326902586297365
10.696,LMP + toll + BESS Houston,100.0,11.883973059933245,76109.19979923921,25.84735164253313,76033.00163867034,76119.48460908403,-0.238652798027033
10.696,LMP + toll + BESS West,100.0,11.883973059933245,76109.46998224857,25.856019435417583,76033.34812052443,76119.73344288554,0.03153021133039147
10.696,LMP + toll + BESS both,100.0,11.883973059933245,76108.51854561457,24.73024763218009,76035.72647490425,76118.3598196844,-0.919906422670465
8.0,LMP only,,,76109.43845203724,41.6409796468182,75984.53863853525,76125.3249744841,0.0
8.0,LMP + toll,100.0,11.883973059981752,76111.7688358732,26.973108195291807,76032.24596272841,76122.4794636765,2.3303838359570364
8.0,LMP + BESS Houston,,,76108.48701540325,40.51620853858043,75986.66962032297,76123.90586326705,-0.9514366339863045
8.0,LMP + BESS West,,,76108.75719841261,40.52438716330003,75987.17180798625,76124.14383256072,-0.6812536246288801
8.0,LMP + BESS both,,,76107.80576177861,39.39964859034105,75989.25673018646,76122.72472134365,-1.6326902586297365
8.0,LMP + toll + BESS Houston,100.0,11.883973059933245,76110.81739923921,25.84735164253313,76034.61923867033,76121.10220908403,1.3789472019707318
8.0,LMP + toll + BESS West,100.0,11.883973059933245,76111.08758224857,25.856019435417583,76034.96572052443,76121.35104288554,1.6491302113281563
8.0,LMP + toll + BESS both,100.0,11.883973059933245,76110.13614561457,24.73024763218009,76037.34407490425,76119.9774196844,0.6976935773272999
5.0,LMP only,,,76109.43845203724,41.6409796468182,75984.53863853525,76125.3249744841,0.0
5.0,LMP + toll,100.0,11.883973059981752,76113.5688358732,26.973108195291807,76034.04596272841,76124.2794636765,4.130383835959947
5.0,LMP + BESS Houston,,,76108.48701540325,40.51620853858043,75986.66962032297,76123.90586326705,-0.9514366339863045
5.0,LMP + BESS West,,,76108.75719841261,40.52438716330003,75987.17180798625,76124.14383256072,-0.6812536246288801
5.0,LMP + BESS both,,,76107.80576177861,39.39964859034105,75989.25673018646,76122.72472134365,-1.6326902586297365
5.0,LMP + toll + BESS Houston,100.0,11.883973059933245,76112.61739923921,25.84735164253313,76036.41923867034,76122.90220908403,3.1789472019736422
5.0,LMP + toll + BESS West,100.0,11.883973059933245,76112.88758224857,25.856019435417583,76036.76572052443,76123.15104288554,3.4491302113310667
5.0,LMP + toll + BESS both,100.0,11.883973059933245,76111.93614561457,24.73024763218009,76039.14407490425,76121.7774196844,2.4976935773302102
