K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,36379.44427108327,2.180097934877267,100.0,36379.44427108327,2.180097934877267,36377.2641731484
1.0,0.6,36378.844271083275,1.5800979348787223,100.0,36378.844271083275,1.5800979348787223,36377.2641731484
2.0,1.2,36378.24427108328,0.9800979348801775,100.0,36378.24427108328,0.9800979348801775,36377.2641731484
2.5,1.5,36377.94427108327,0.6800979348772671,100.0,36377.94427108327,0.6800979348772671,36377.2641731484
3.0,1.8,36377.64427108327,0.3800979348743567,100.0,36377.64427108327,0.3800979348743567,36377.2641731484
3.5,2.1,36377.344271083275,0.0800979348787223,100.0,36377.344271083275,0.0800979348787223,36377.2641731484
4.0,2.4,36377.04427108327,-0.21990206512418808,0.0,36377.2641731484,0.0,36377.2641731484
6.0,3.6,36375.844271083275,-1.4199020651212777,0.0,36377.2641731484,0.0,36377.2641731484
8.0,4.8,36374.64427108327,-2.6199020651256433,0.0,36377.2641731484,0.0,36377.2641731484
12.0,7.2,36372.24427108328,-5.0199020651198225,0.0,36377.2641731484,0.0,36377.2641731484
