K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,36370.471238292994,7.068457623507129,100.0,36370.471238292994,7.068457623507129,36363.40278066949
1.0,0.6,36369.871238292995,6.468457623508584,100.0,36369.871238292995,6.468457623508584,36363.40278066949
2.0,1.2,36369.271238293,5.868457623510039,100.0,36369.271238293,5.868457623510039,36363.40278066949
2.5,1.5,36368.971238292994,5.568457623507129,100.0,36368.971238292994,5.568457623507129,36363.40278066949
3.0,1.8,36368.67123829299,5.268457623504219,100.0,36368.67123829299,5.268457623504219,36363.40278066949
3.5,2.1,36368.371238292995,4.968457623508584,100.0,36368.371238292995,4.968457623508584,36363.40278066949
4.0,2.4,36368.07123829299,4.668457623505674,100.0,36368.07123829299,4.668457623505674,36363.40278066949
6.0,3.6,36366.871238292995,3.468457623508584,100.0,36366.871238292995,3.468457623508584,36363.40278066949
8.0,4.8,36365.67123829299,2.2684576235042186,100.0,36365.67123829299,2.2684576235042186,36363.40278066949
12.0,7.2,36363.271238293,-0.1315423764899606,0.0,36363.40278066949,0.0,36363.40278066949
