K_per_kw_month,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,fixed100_net_mean_$M,fixed100_vs_lmp_only,lmp_only_mean_$M
0.0,100.0,36379.44427108327,2.180097934877267,36379.44427108327,2.180097934877267,36377.2641731484
0.02,100.0,36379.43227108327,2.1680979348748224,36379.43227108327,2.1680979348748224,36377.2641731484
0.04,100.0,36379.420271083276,2.1560979348796536,36379.420271083276,2.1560979348796536,36377.2641731484
0.06,100.0,36379.40827108327,2.144097934877209,36379.40827108327,2.144097934877209,36377.2641731484
0.08,100.0,36379.39627108327,2.132097934874764,36379.39627108327,2.132097934874764,36377.2641731484
0.1,100.0,36379.384271083276,2.1200979348795954,36379.384271083276,2.1200979348795954,36377.2641731484
0.12,100.0,36379.37227108327,2.1080979348771507,36379.37227108327,2.1080979348771507,36377.2641731484
0.14,100.0,36379.36027108327,2.096097934874706,36379.36027108327,2.096097934874706,36377.2641731484
0.16,100.0,36379.348271083276,2.084097934879537,36379.348271083276,2.084097934879537,36377.2641731484
0.18,100.0,36379.33627108327,2.0720979348770925,36379.33627108327,2.0720979348770925,36377.2641731484
0.2,100.0,36379.32427108327,2.0600979348746478,36379.32427108327,2.0600979348746478,36377.2641731484
0.22,100.0,36379.312271083276,2.048097934879479,36379.312271083276,2.048097934879479,36377.2641731484
0.24,100.0,36379.30027108327,2.0360979348770343,36379.30027108327,2.0360979348770343,36377.2641731484
0.26,100.0,36379.28827108327,2.0240979348745896,36379.28827108327,2.0240979348745896,36377.2641731484
0.28,100.0,36379.276271083276,2.012097934879421,36379.276271083276,2.012097934879421,36377.2641731484
0.3,100.0,36379.26427108327,2.000097934876976,36379.26427108327,2.000097934876976,36377.2641731484
0.32,100.0,36379.25227108327,1.9880979348745313,36379.25227108327,1.9880979348745313,36377.2641731484
0.34,100.0,36379.240271083276,1.9760979348793626,36379.240271083276,1.9760979348793626,36377.2641731484
0.36,100.0,36379.22827108327,1.9640979348769179,36379.22827108327,1.9640979348769179,36377.2641731484
0.38,100.0,36379.21627108327,1.9520979348744731,36379.21627108327,1.9520979348744731,36377.2641731484
0.4,100.0,36379.204271083276,1.9400979348793044,36379.204271083276,1.9400979348793044,36377.2641731484
0.42,100.0,36379.19227108327,1.9280979348768597,36379.19227108327,1.9280979348768597,36377.2641731484
0.44,100.0,36379.18027108327,1.916097934874415,36379.18027108327,1.916097934874415,36377.2641731484
0.46,100.0,36379.168271083276,1.9040979348792462,36379.168271083276,1.9040979348792462,36377.2641731484
0.48,100.0,36379.15627108327,1.8920979348768014,36379.15627108327,1.8920979348768014,36377.2641731484
0.5,100.0,36379.14427108327,1.8800979348743567,36379.14427108327,1.8800979348743567,36377.2641731484
0.52,100.0,36379.132271083276,1.868097934879188,36379.132271083276,1.868097934879188,36377.2641731484
0.54,100.0,36379.12027108327,1.8560979348767432,36379.12027108327,1.8560979348767432,36377.2641731484
0.56,100.0,36379.10827108327,1.8440979348742985,36379.10827108327,1.8440979348742985,36377.2641731484
0.58,100.0,36379.096271083275,1.8320979348791298,36379.096271083275,1.8320979348791298,36377.2641731484
0.6,100.0,36379.08427108327,1.820097934876685,36379.08427108327,1.820097934876685,36377.2641731484
0.62,100.0,36379.07227108327,1.8080979348742403,36379.07227108327,1.8080979348742403,36377.2641731484
0.64,100.0,36379.060271083275,1.7960979348790715,36379.060271083275,1.7960979348790715,36377.2641731484
0.66,100.0,36379.04827108327,1.7840979348766268,36379.04827108327,1.7840979348766268,36377.2641731484
0.68,100.0,36379.03627108327,1.772097934874182,36379.03627108327,1.772097934874182,36377.2641731484
0.7,100.0,36379.024271083275,1.7600979348790133,36379.024271083275,1.7600979348790133,36377.2641731484
0.72,100.0,36379.01227108327,1.7480979348765686,36379.01227108327,1.7480979348765686,36377.2641731484
0.74,100.0,36379.00027108327,1.736097934874124,36379.00027108327,1.736097934874124,36377.2641731484
0.76,100.0,36378.988271083275,1.7240979348789551,36378.988271083275,1.7240979348789551,36377.2641731484
0.78,100.0,36378.97627108327,1.7120979348765104,36378.97627108327,1.7120979348765104,36377.2641731484
0.8,100.0,36378.96427108327,1.7000979348740657,36378.96427108327,1.7000979348740657,36377.2641731484
0.82,100.0,36378.952271083275,1.688097934878897,36378.952271083275,1.688097934878897,36377.2641731484
0.84,100.0,36378.94027108327,1.6760979348764522,36378.94027108327,1.6760979348764522,36377.2641731484
0.86,100.0,36378.92827108327,1.6640979348740075,36378.92827108327,1.6640979348740075,36377.2641731484
0.88,100.0,36378.916271083275,1.6520979348788387,36378.916271083275,1.6520979348788387,36377.2641731484
0.9,100.0,36378.90427108327,1.640097934876394,36378.90427108327,1.640097934876394,36377.2641731484
0.92,100.0,36378.89227108327,1.6280979348739493,36378.89227108327,1.6280979348739493,36377.2641731484
0.94,100.0,36378.880271083275,1.6160979348787805,36378.880271083275,1.6160979348787805,36377.2641731484
0.96,100.0,36378.86827108327,1.6040979348763358,36378.86827108327,1.6040979348763358,36377.2641731484
0.98,100.0,36378.85627108327,1.592097934873891,36378.85627108327,1.592097934873891,36377.2641731484
1.0,100.0,36378.844271083275,1.5800979348787223,36378.844271083275,1.5800979348787223,36377.2641731484
1.02,100.0,36378.83227108327,1.5680979348762776,36378.83227108327,1.5680979348762776,36377.2641731484
1.04,100.0,36378.82027108327,1.5560979348738329,36378.82027108327,1.5560979348738329,36377.2641731484
1.06,100.0,36378.808271083275,1.544097934878664,36378.808271083275,1.544097934878664,36377.2641731484
1.08,100.0,36378.79627108327,1.5320979348762194,36378.79627108327,1.5320979348762194,36377.2641731484
1.1,100.0,36378.78427108327,1.5200979348737746,36378.78427108327,1.5200979348737746,36377.2641731484
1.12,100.0,36378.772271083275,1.5080979348786059,36378.772271083275,1.5080979348786059,36377.2641731484
1.14,100.0,36378.76027108327,1.4960979348761612,36378.76027108327,1.4960979348761612,36377.2641731484
1.16,100.0,36378.74827108327,1.4840979348737164,36378.74827108327,1.4840979348737164,36377.2641731484
1.18,100.0,36378.736271083275,1.4720979348785477,36378.736271083275,1.4720979348785477,36377.2641731484
1.2,100.0,36378.72427108327,1.460097934876103,36378.72427108327,1.460097934876103,36377.2641731484
1.22,100.0,36378.71227108327,1.4480979348736582,36378.71227108327,1.4480979348736582,36377.2641731484
