K_per_kw_month,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,fixed100_net_mean_$M,fixed100_vs_lmp_only,lmp_only_mean_$M
0.0,100.0,36370.471238292994,7.068457623507129,36370.471238292994,7.068457623507129,36363.40278066949
0.02,100.0,36370.45923829299,7.056457623504684,36370.45923829299,7.056457623504684,36363.40278066949
0.04,100.0,36370.447238292996,7.0444576235095155,36370.447238292996,7.0444576235095155,36363.40278066949
0.06,100.0,36370.435238292994,7.032457623507071,36370.435238292994,7.032457623507071,36363.40278066949
0.08,100.0,36370.42323829299,7.020457623504626,36370.42323829299,7.020457623504626,36363.40278066949
0.1,100.0,36370.411238292996,7.008457623509457,36370.411238292996,7.008457623509457,36363.40278066949
0.12,100.0,36370.399238292994,6.996457623507013,36370.399238292994,6.996457623507013,36363.40278066949
0.14,100.0,36370.38723829299,6.984457623504568,36370.38723829299,6.984457623504568,36363.40278066949
0.16,100.0,36370.375238292996,6.972457623509399,36370.375238292996,6.972457623509399,36363.40278066949
0.18,100.0,36370.36323829299,6.960457623506954,36370.36323829299,6.960457623506954,36363.40278066949
0.2,100.0,36370.35123829299,6.94845762350451,36370.35123829299,6.94845762350451,36363.40278066949
0.22,100.0,36370.339238292996,6.936457623509341,36370.339238292996,6.936457623509341,36363.40278066949
0.24,100.0,36370.32723829299,6.924457623506896,36370.32723829299,6.924457623506896,36363.40278066949
0.26,100.0,36370.31523829299,6.9124576235044515,36370.31523829299,6.9124576235044515,36363.40278066949
0.28,100.0,36370.303238292996,6.900457623509283,36370.303238292996,6.900457623509283,36363.40278066949
0.3,100.0,36370.29123829299,6.888457623506838,36370.29123829299,6.888457623506838,36363.40278066949
0.32,100.0,36370.27923829299,6.876457623504393,36370.27923829299,6.876457623504393,36363.40278066949
0.34,100.0,36370.267238292996,6.8644576235092245,36370.267238292996,6.8644576235092245,36363.40278066949
0.36,100.0,36370.25523829299,6.85245762350678,36370.25523829299,6.85245762350678,36363.40278066949
0.38,100.0,36370.24323829299,6.840457623504335,36370.24323829299,6.840457623504335,36363.40278066949
0.4,100.0,36370.231238292996,6.828457623509166,36370.231238292996,6.828457623509166,36363.40278066949
0.42,100.0,36370.21923829299,6.816457623506722,36370.21923829299,6.816457623506722,36363.40278066949
0.44,100.0,36370.20723829299,6.804457623504277,36370.20723829299,6.804457623504277,36363.40278066949
0.46,100.0,36370.195238292996,6.792457623509108,36370.195238292996,6.792457623509108,36363.40278066949
0.48,100.0,36370.18323829299,6.780457623506663,36370.18323829299,6.780457623506663,36363.40278066949
0.5,100.0,36370.17123829299,6.768457623504219,36370.17123829299,6.768457623504219,36363.40278066949
0.52,100.0,36370.159238292996,6.75645762350905,36370.159238292996,6.75645762350905,36363.40278066949
0.54,100.0,36370.14723829299,6.744457623506605,36370.14723829299,6.744457623506605,36363.40278066949
0.56,100.0,36370.13523829299,6.73245762350416,36370.13523829299,6.73245762350416,36363.40278066949
0.58,100.0,36370.123238292996,6.720457623508992,36370.123238292996,6.720457623508992,36363.40278066949
0.6,100.0,36370.11123829299,6.708457623506547,36370.11123829299,6.708457623506547,36363.40278066949
0.62,100.0,36370.09923829299,6.696457623504102,36370.09923829299,6.696457623504102,36363.40278066949
0.64,100.0,36370.087238292996,6.6844576235089335,36370.087238292996,6.6844576235089335,36363.40278066949
0.66,100.0,36370.07523829299,6.672457623506489,36370.07523829299,6.672457623506489,36363.40278066949
0.68,100.0,36370.06323829299,6.660457623504044,36370.06323829299,6.660457623504044,36363.40278066949
0.7,100.0,36370.051238292996,6.648457623508875,36370.051238292996,6.648457623508875,36363.40278066949
0.72,100.0,36370.03923829299,6.6364576235064305,36370.03923829299,6.6364576235064305,36363.40278066949
0.74,100.0,36370.02723829299,6.624457623503986,36370.02723829299,6.624457623503986,36363.40278066949
0.76,100.0,36370.015238292995,6.612457623508817,36370.015238292995,6.612457623508817,36363.40278066949
0.78,100.0,36370.00323829299,6.600457623506372,36370.00323829299,6.600457623506372,36363.40278066949
0.8,100.0,36369.99123829299,6.588457623503928,36369.99123829299,6.588457623503928,36363.40278066949
0.82,100.0,36369.979238292995,6.576457623508759,36369.979238292995,6.576457623508759,36363.40278066949
0.84,100.0,36369.96723829299,6.564457623506314,36369.96723829299,6.564457623506314,36363.40278066949
0.86,100.0,36369.95523829299,6.552457623503869,36369.95523829299,6.552457623503869,36363.40278066949
0.88,100.0,36369.943238292995,6.540457623508701,36369.943238292995,6.540457623508701,36363.40278066949
0.9,100.0,36369.93123829299,6.528457623506256,36369.93123829299,6.528457623506256,36363.40278066949
0.92,100.0,36369.91923829299,6.516457623503811,36369.91923829299,6.516457623503811,36363.40278066949
0.94,100.0,36369.907238292995,6.504457623508642,36369.907238292995,6.504457623508642,36363.40278066949
0.96,100.0,36369.89523829299,6.492457623506198,36369.89523829299,6.492457623506198,36363.40278066949
0.98,100.0,36369.88323829299,6.480457623503753,36369.88323829299,6.480457623503753,36363.40278066949
1.0,100.0,36369.871238292995,6.468457623508584,36369.871238292995,6.468457623508584,36363.40278066949
1.02,100.0,36369.85923829299,6.4564576235061395,36369.85923829299,6.4564576235061395,36363.40278066949
1.04,100.0,36369.84723829299,6.444457623503695,36369.84723829299,6.444457623503695,36363.40278066949
1.06,100.0,36369.835238292995,6.432457623508526,36369.835238292995,6.432457623508526,36363.40278066949
