,LMP + toll,LMP + BESS Houston,LMP + BESS West,LMP + BESS both,LMP + toll + BESS Houston,LMP + toll + BESS West,LMP + toll + BESS both
baseline / no-stress,2.180097934880905,1.6504451945547771,1.918061075703008,3.568506270257785,3.830543129435682,4.098159010576637,5.74860420513869
baseline / mild,2.830877598025836,1.7031788054919161,1.9665206917961768,3.669699497288093,4.534056403510476,4.797398289825651,6.500577095313929
baseline / moderate,3.527987558132736,1.8009196526982123,2.0729815746090026,3.873901227299939,5.328907210830948,5.600969132738101,7.401888785436313
baseline / uri,7.068457623499853,2.023944795004354,2.2910563933364756,4.315001188388123,9.092402418504207,9.359514016836329,11.383458811840683
ai_structural / no-stress,2.2348120369497337,1.666899888059561,1.9365672968997387,3.6034671849520237,3.9017119249983807,4.1713793338458345,5.838279221901757
ai_structural / mild,2.8850978932896396,1.7194818594143726,1.9848312462381728,3.7043131056525453,4.604579752696736,4.869929139527812,6.589410998938547
ai_structural / moderate,3.5824923865293385,1.8173064822949527,2.091399467553856,3.908705949845171,5.399798868813377,5.673891854083195,7.491198336374509
ai_structural / uri,7.12301159607523,2.0403571745191584,2.309516116292798,4.349873290811956,9.163368770598026,9.432527712371666,11.472884886887186
mild_drift / no-stress,2.213123732133681,1.6751272365909244,1.9458208106516395,3.62094804724984,3.8882509687355196,4.158944542799873,5.834071779390797
mild_drift / mild,2.86328366899761,1.7276333881673054,1.9939869265763264,3.7216203147436318,4.590917057164916,4.857270595566661,6.584903983741242
mild_drift / moderate,3.5606892641189916,1.8254998988304578,2.1006088121721405,3.9261087109989603,5.386189162949449,5.661298076291132,7.486797975117952
mild_drift / uri,7.101277250814746,2.0485633660027815,2.318746375363844,4.36730974135935,9.149840616817528,9.420023626174952,11.468586992177734
ai_plus_brent / no-stress,2.300865522614913,1.7162639898742782,1.992091703497863,3.708355693368503,4.017129512478277,4.2929572261055,6.00922121597614
ai_plus_brent / mild,2.9499153143733565,1.7683910424384521,2.0397686246797093,3.8081596671217994,4.718306356815447,4.989683939053066,6.758074981491518
ai_plus_brent / moderate,3.6478975039281067,1.8664669921054156,2.146658830173692,4.0131258222754695,5.514364496029884,5.794556334098161,7.661023326199938
ai_plus_brent / uri,7.188652656623162,2.089594334222056,2.364900964901608,4.45449529911275,9.27824699084158,9.553553621517494,11.643147955735913
