K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19750.568650493213,1.6604392105256756,19747.86691510059,19752.63870049342,0.0
8.0,LMP + toll,0.0,3.8347758710248554,19750.568650493213,1.6604392105256756,19747.86691510059,19752.63870049342,0.0
8.0,LMP + BESS Houston,,,19749.284914483087,1.5955145771851351,19746.692229901502,19751.25840288484,-1.2837360101257218
8.0,LMP + BESS West,,,19749.56074219671,1.5795217507645791,19746.99479072798,19751.500686763902,-1.007908296502137
8.0,LMP + BESS both,,,19748.27700618658,1.5144588796336786,19745.8201055289,19750.12038915532,-2.291644306631497
8.0,LMP + toll + BESS Houston,0.0,3.8347758710066655,19749.284914483087,1.5955145771851351,19746.692229901502,19751.25840288484,-1.2837360101257218
8.0,LMP + toll + BESS West,0.0,3.8347758710127287,19749.56074219671,1.5795217507645791,19746.99479072798,19751.500686763902,-1.007908296502137
8.0,LMP + toll + BESS both,0.0,3.8347758710127287,19748.27700618658,1.5144588796336786,19745.8201055289,19750.12038915532,-2.291644306631497
5.0,LMP only,,,19750.568650493213,1.6604392105256756,19747.86691510059,19752.63870049342,0.0
5.0,LMP + toll,0.0,3.8347758710248554,19750.568650493213,1.6604392105256756,19747.86691510059,19752.63870049342,0.0
5.0,LMP + BESS Houston,,,19749.284914483087,1.5955145771851351,19746.692229901502,19751.25840288484,-1.2837360101257218
5.0,LMP + BESS West,,,19749.56074219671,1.5795217507645791,19746.99479072798,19751.500686763902,-1.007908296502137
5.0,LMP + BESS both,,,19748.27700618658,1.5144588796336786,19745.8201055289,19750.12038915532,-2.291644306631497
5.0,LMP + toll + BESS Houston,0.0,3.8347758710066655,19749.284914483087,1.5955145771851351,19746.692229901502,19751.25840288484,-1.2837360101257218
5.0,LMP + toll + BESS West,0.0,3.8347758710127287,19749.56074219671,1.5795217507645791,19746.99479072798,19751.500686763902,-1.007908296502137
5.0,LMP + toll + BESS both,0.0,3.8347758710127287,19748.27700618658,1.5144588796336786,19745.8201055289,19750.12038915532,-2.291644306631497
3.829,LMP only,,,19750.568650493213,1.6604392105256756,19747.86691510059,19752.63870049342,0.0
3.829,LMP + toll,60.0,3.8347758710248554,19750.575864067,1.5168341857408232,,,0.007213573786430061
3.829,LMP + BESS Houston,,,19749.284914483087,1.5955145771851351,19746.692229901502,19751.25840288484,-1.2837360101257218
3.829,LMP + BESS West,,,19749.56074219671,1.5795217507645791,19746.99479072798,19751.500686763902,-1.007908296502137
3.829,LMP + BESS both,,,19748.27700618658,1.5144588796336786,19745.8201055289,19750.12038915532,-2.291644306631497
3.829,LMP + toll + BESS Houston,60.0,3.8347758710066655,19749.292128056873,1.5168341857408232,,,-1.2765224363392917
3.829,LMP + toll + BESS West,60.0,3.8347758710127287,19749.567955770497,1.5168341857408232,,,-1.000694722715707
3.829,LMP + toll + BESS both,60.0,3.8347758710127287,19748.284219760368,1.5168341857408232,,,-2.284430732845067
3.451,LMP only,,,19750.568650493213,1.6604392105256756,19747.86691510059,19752.63870049342,0.0
3.451,LMP + toll,100.0,3.8347758710248554,19750.79891601582,1.428512353135447,19748.43684986812,19752.5526227872,0.2302655226085335
3.451,LMP + BESS Houston,,,19749.284914483087,1.5955145771851351,19746.692229901502,19751.25840288484,-1.2837360101257218
3.451,LMP + BESS West,,,19749.56074219671,1.5795217507645791,19746.99479072798,19751.500686763902,-1.007908296502137
3.451,LMP + BESS both,,,19748.27700618658,1.5144588796336786,19745.8201055289,19750.12038915532,-2.291644306631497
3.451,LMP + toll + BESS Houston,100.0,3.8347758710066655,19749.515180005696,1.370786457317869,19747.26216466904,19751.21521447427,-1.0534704875171883
3.451,LMP + toll + BESS West,100.0,3.8347758710127287,19749.79100771932,1.3467983281621811,19747.564725495515,19751.46599295879,-0.7776427738936036
3.451,LMP + toll + BESS both,100.0,3.8347758710127287,19748.50727170919,1.2893261992417695,19746.390040296435,19750.13230541817,-2.0613787840229634
