K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19751.87740385722,2.9499153143697185,100.0,19751.87740385722,2.9499153143697185,19748.92748854285
1.0,0.6,19751.27740385722,2.3499153143711737,100.0,19751.27740385722,2.3499153143711737,19748.92748854285
2.0,1.2,19750.677403857222,1.749915314372629,100.0,19750.677403857222,1.749915314372629,19748.92748854285
2.5,1.5,19750.37740385722,1.4499153143697185,100.0,19750.37740385722,1.4499153143697185,19748.92748854285
3.0,1.8,19750.077403857224,1.1499153143740841,100.0,19750.077403857224,1.1499153143740841,19748.92748854285
3.5,2.1,19749.77740385722,0.8499153143711737,100.0,19749.77740385722,0.8499153143711737,19748.92748854285
4.0,2.4,19749.477403857218,0.5499153143682634,100.0,19749.477403857218,0.5499153143682634,19748.92748854285
6.0,3.6,19748.27740385722,-0.6500846856288263,0.0,19748.92748854285,0.0,19748.92748854285
8.0,4.8,19747.077403857224,-1.8500846856259159,0.0,19748.92748854285,0.0,19748.92748854285
12.0,7.2,19744.677403857222,-4.250084685627371,0.0,19748.92748854285,0.0,19748.92748854285
