K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19748.92748854285,2.601694479015842,19745.43637543256,19752.556636153324,0.0
8.0,LMP + toll,0.0,4.9165255239555945,19748.92748854285,2.601694479015842,19745.43637543256,19752.556636153324,0.0
8.0,LMP + BESS Houston,,,19747.695879585288,2.510722440639723,19744.300797213484,19751.16975941172,-1.2316089575615479
8.0,LMP + BESS West,,,19747.96725716753,2.497783679963255,19744.58345662616,19751.41632318976,-0.9602313753202907
8.0,LMP + BESS both,,,19746.73564820997,2.406770690214588,19743.447878407085,19750.0226345582,-2.1918403328782006
8.0,LMP + toll + BESS Houston,0.0,4.916525523961658,19747.695879585288,2.510722440639723,19744.300797213484,19751.16975941172,-1.2316089575615479
8.0,LMP + toll + BESS West,0.0,4.9165255239555945,19747.96725716753,2.497783679963255,19744.58345662616,19751.41632318976,-0.9602313753202907
8.0,LMP + toll + BESS both,0.0,4.916525523949531,19746.73564820997,2.406770690214588,19743.447878407085,19750.0226345582,-2.1918403328782006
5.0,LMP only,,,19748.92748854285,2.601694479015842,19745.43637543256,19752.556636153324,0.0
5.0,LMP + toll,0.0,4.9165255239555945,19748.92748854285,2.601694479015842,19745.43637543256,19752.556636153324,0.0
5.0,LMP + BESS Houston,,,19747.695879585288,2.510722440639723,19744.300797213484,19751.16975941172,-1.2316089575615479
5.0,LMP + BESS West,,,19747.96725716753,2.497783679963255,19744.58345662616,19751.41632318976,-0.9602313753202907
5.0,LMP + BESS both,,,19746.73564820997,2.406770690214588,19743.447878407085,19750.0226345582,-2.1918403328782006
5.0,LMP + toll + BESS Houston,0.0,4.916525523961658,19747.695879585288,2.510722440639723,19744.300797213484,19751.16975941172,-1.2316089575615479
5.0,LMP + toll + BESS West,0.0,4.9165255239555945,19747.96725716753,2.497783679963255,19744.58345662616,19751.41632318976,-0.9602313753202907
5.0,LMP + toll + BESS both,0.0,4.916525523949531,19746.73564820997,2.406770690214588,19743.447878407085,19750.0226345582,-2.1918403328782006
4.911,LMP only,,,19748.92748854285,2.601694479015842,19745.43637543256,19752.556636153324,0.0
4.911,LMP + toll,60.0,4.9165255239555945,19748.935851435475,2.18474648120342,,,0.008362892625882523
4.911,LMP + BESS Houston,,,19747.695879585288,2.510722440639723,19744.300797213484,19751.16975941172,-1.2316089575615479
4.911,LMP + BESS West,,,19747.96725716753,2.497783679963255,19744.58345662616,19751.41632318976,-0.9602313753202907
4.911,LMP + BESS both,,,19746.73564820997,2.406770690214588,19743.447878407085,19750.0226345582,-2.1918403328782006
4.911,LMP + toll + BESS Houston,60.0,4.916525523961658,19747.704242477914,2.18474648120342,,,-1.2232460649356653
4.911,LMP + toll + BESS West,60.0,4.9165255239555945,19747.975620060155,2.18474648120342,,,-0.9518684826944082
4.911,LMP + toll + BESS both,60.0,4.916525523949531,19746.744011102597,2.18474648120342,,,-2.183477440252318
4.425,LMP only,,,19748.92748854285,2.601694479015842,19745.43637543256,19752.556636153324,0.0
4.425,LMP + toll,100.0,4.9165255239555945,19749.22240385722,1.9216010702568576,19746.58854685867,19751.86288291858,0.2949153143708827
4.425,LMP + BESS Houston,,,19747.695879585288,2.510722440639723,19744.300797213484,19751.16975941172,-1.2316089575615479
4.425,LMP + BESS West,,,19747.96725716753,2.497783679963255,19744.58345662616,19751.41632318976,-0.9602313753202907
4.425,LMP + BESS both,,,19746.73564820997,2.406770690214588,19743.447878407085,19750.0226345582,-2.1918403328782006
4.425,LMP + toll + BESS Houston,100.0,4.916525523961658,19747.99079489966,1.8348857582369893,19745.42408297493,19750.55797556797,-0.9366936431906652
4.425,LMP + toll + BESS West,100.0,4.9165255239555945,19748.2621724819,1.816141307589028,19745.75963231128,19750.76324463877,-0.665316060949408
4.425,LMP + toll + BESS both,100.0,4.916525523949531,19747.030563524342,1.729547094846794,19744.61529591661,19749.426266179922,-1.8969250185073179
