K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19751.018758346057,3.6478975039244688,100.0,19751.018758346057,3.6478975039244688,19747.370860842133
1.0,0.6,19750.418758346063,3.047897503929562,100.0,19750.418758346063,3.047897503929562,19747.370860842133
2.0,1.2,19749.81875834606,2.447897503927379,100.0,19749.81875834606,2.447897503927379,19747.370860842133
2.5,1.5,19749.518758346057,2.1478975039244688,100.0,19749.518758346057,2.1478975039244688,19747.370860842133
3.0,1.8,19749.21875834606,1.8478975039288343,100.0,19749.21875834606,1.8478975039288343,19747.370860842133
3.5,2.1,19748.918758346063,1.547897503929562,100.0,19748.918758346063,1.547897503929562,19747.370860842133
4.0,2.4,19748.61875834606,1.2478975039266516,100.0,19748.61875834606,1.2478975039266516,19747.370860842133
6.0,3.6,19747.418758346063,0.047897503929561935,100.0,19747.418758346063,0.047897503929561935,19747.370860842133
8.0,4.8,19746.21875834606,-1.1521024960711657,0.0,19747.370860842133,0.0,19747.370860842133
12.0,7.2,19743.81875834606,-3.552102496072621,0.0,19747.370860842133,0.0,19747.370860842133
