K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19747.370860842133,7.398283986440592,19730.85580455433,19752.63870049342,0.0
8.0,LMP + toll,0.0,6.079829173213511,19747.370860842133,7.398283986440592,19730.85580455433,19752.63870049342,0.0
8.0,LMP + BESS Houston,,,19746.23732783424,7.054436260365009,19730.516292954315,19751.25840288484,-1.1335330078945844
8.0,LMP + BESS West,,,19746.517519672307,7.04808486487646,19730.713731718944,19751.500686763902,-0.853341169826308
8.0,LMP + BESS both,,,19745.38398666441,6.7044232104309565,19730.37422011893,19750.12038915532,-1.9868741777245305
8.0,LMP + toll + BESS Houston,0.0,6.0798291732074485,19746.23732783424,7.054436260365009,19730.516292954315,19751.25840288484,-1.1335330078945844
8.0,LMP + toll + BESS West,0.0,6.0798291732074485,19746.517519672307,7.04808486487646,19730.713731718944,19751.500686763902,-0.853341169826308
8.0,LMP + toll + BESS both,0.0,6.0798291732074485,19745.38398666441,6.7044232104309565,19730.37422011893,19750.12038915532,-1.9868741777245305
6.073,LMP only,,,19747.370860842133,7.398283986440592,19730.85580455433,19752.63870049342,0.0
6.073,LMP + toll,60.0,6.079829173213511,19747.38116390531,5.660241512274978,,,0.01030306317625218
6.073,LMP + BESS Houston,,,19746.23732783424,7.054436260365009,19730.516292954315,19751.25840288484,-1.1335330078945844
6.073,LMP + BESS West,,,19746.517519672307,7.04808486487646,19730.713731718944,19751.500686763902,-0.853341169826308
6.073,LMP + BESS both,,,19745.38398666441,6.7044232104309565,19730.37422011893,19750.12038915532,-1.9868741777245305
6.073,LMP + toll + BESS Houston,60.0,6.0798291732074485,19746.247630897415,5.660241512274978,,,-1.1232299447183323
6.073,LMP + toll + BESS West,60.0,6.0798291732074485,19746.527822735483,5.660241512274978,,,-0.8430381066500559
6.073,LMP + toll + BESS both,60.0,6.0798291732074485,19745.394289727585,5.660241512274978,,,-1.9765711145482783
5.472,LMP only,,,19747.370860842133,7.398283986440592,19730.85580455433,19752.63870049342,0.0
5.472,LMP + toll,100.0,6.079829173213511,19747.735558346056,4.524553727148083,19737.93457793179,19751.3400227872,0.3646975039227982
5.472,LMP + BESS Houston,,,19746.23732783424,7.054436260365009,19730.516292954315,19751.25840288484,-1.1335330078945844
5.472,LMP + BESS West,,,19746.517519672307,7.04808486487646,19730.713731718944,19751.500686763902,-0.853341169826308
5.472,LMP + BESS both,,,19745.38398666441,6.7044232104309565,19730.37422011893,19750.12038915532,-1.9868741777245305
5.472,LMP + toll + BESS Houston,100.0,6.0798291732074485,19746.60202533816,4.18817058968955,19737.595066331778,19750.00261447427,-0.7688355039717862
5.472,LMP + toll + BESS West,100.0,6.0798291732074485,19746.88221717623,4.177768800245581,19737.792505096404,19750.25339295879,-0.4886436659035098
5.472,LMP + toll + BESS both,100.0,6.0798291732074485,19745.74868416833,3.84268967278729,19737.452993496387,19748.91970541817,-1.6221766738017322
5.0,LMP only,,,19747.370860842133,7.398283986440592,19730.85580455433,19752.63870049342,0.0
5.0,LMP + toll,100.0,6.079829173213511,19748.018758346057,4.524553727148083,19738.217777931786,19751.6232227872,0.6478975039244688
5.0,LMP + BESS Houston,,,19746.23732783424,7.054436260365009,19730.516292954315,19751.25840288484,-1.1335330078945844
5.0,LMP + BESS West,,,19746.517519672307,7.04808486487646,19730.713731718944,19751.500686763902,-0.853341169826308
5.0,LMP + BESS both,,,19745.38398666441,6.7044232104309565,19730.37422011893,19750.12038915532,-1.9868741777245305
5.0,LMP + toll + BESS Houston,100.0,6.0798291732074485,19746.885225338163,4.18817058968955,19737.878266331776,19750.285814474268,-0.4856355039701157
5.0,LMP + toll + BESS West,100.0,6.0798291732074485,19747.16541717623,4.177768800245581,19738.075705096402,19750.53659295879,-0.20544366590183927
5.0,LMP + toll + BESS both,100.0,6.0798291732074485,19746.031884168333,3.84268967278729,19737.736193496385,19749.20290541817,-1.3389766738000617
