K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19743.899444113475,7.188652656615886,100.0,19743.899444113475,7.188652656615886,19736.71079145686
1.0,0.6,19743.29944411348,6.5886526566209795,100.0,19743.29944411348,6.5886526566209795,19736.71079145686
2.0,1.2,19742.699444113478,5.988652656618797,100.0,19742.699444113478,5.988652656618797,19736.71079145686
2.5,1.5,19742.399444113475,5.688652656615886,100.0,19742.399444113475,5.688652656615886,19736.71079145686
3.0,1.8,19742.099444113483,5.38865265662389,100.0,19742.099444113483,5.38865265662389,19736.71079145686
3.5,2.1,19741.79944411348,5.0886526566209795,100.0,19741.79944411348,5.0886526566209795,19736.71079145686
4.0,2.4,19741.499444113477,4.788652656618069,100.0,19741.499444113477,4.788652656618069,19736.71079145686
6.0,3.6,19740.29944411348,3.5886526566209795,100.0,19740.29944411348,3.5886526566209795,19736.71079145686
8.0,4.8,19739.099444113483,2.38865265662389,100.0,19739.099444113483,2.38865265662389,19736.71079145686
12.0,7.2,19736.699444113478,-0.011347343381203245,20.0,19736.711684317994,0.0008928611350711435,19736.71079145686
