K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
11.976,LMP only,,,19736.71079145686,41.6390937408279,19611.82198008206,19752.63870049342,0.0
11.976,LMP + toll,60.0,11.981087761038605,19736.71775731105,32.83598049342952,,,0.00696585419063922
11.976,LMP + BESS Houston,,,19735.80038579108,40.51447896114103,19613.98646500258,19751.25840288484,-0.9104056657779438
11.976,LMP + BESS West,,,19736.07569242176,40.52285649928383,19614.500285477563,19751.500686763902,-0.635099035098392
11.976,LMP + BESS both,,,19735.16528675597,39.39827510710906,19616.62426689613,19750.12038915532,-1.5455047008872498
11.976,LMP + toll + BESS Houston,60.0,11.98108776103254,19735.80735164527,32.83598049342952,,,-0.9034398115873046
11.976,LMP + toll + BESS West,60.0,11.981087761026478,19736.08265827595,32.83598049342952,,,-0.6281331809077528
11.976,LMP + toll + BESS both,60.0,11.981087761038605,19735.172252610162,32.83598049342952,,,-1.5385388466966106
10.783,LMP only,,,19736.71079145686,41.6390937408279,19611.82198008206,19752.63870049342,0.0
10.783,LMP + toll,100.0,11.981087761038605,19737.429644113476,26.971608608618144,19657.92488302045,19748.1534227872,0.7188526566169458
10.783,LMP + BESS Houston,,,19735.80038579108,40.51447896114103,19613.98646500258,19751.25840288484,-0.9104056657779438
10.783,LMP + BESS West,,,19736.07569242176,40.52285649928383,19614.500285477563,19751.500686763902,-0.635099035098392
10.783,LMP + BESS both,,,19735.16528675597,39.39827510710906,19616.62426689613,19750.12038915532,-1.5455047008872498
10.783,LMP + toll + BESS Houston,100.0,11.98108776103254,19736.519238447698,25.846010526535185,19660.333740916943,19746.81601447427,-0.19155300916099804
10.783,LMP + toll + BESS West,100.0,11.981087761026478,19736.794545078377,25.854866535049137,19660.688677799837,19747.06679295879,0.0837536215185537
10.783,LMP + toll + BESS both,100.0,11.981087761038605,19735.88413941259,24.72925428243037,19663.1029402942,19745.73310541817,-0.826652044270304
8.0,LMP only,,,19736.71079145686,41.6390937408279,19611.82198008206,19752.63870049342,0.0
8.0,LMP + toll,100.0,11.981087761038605,19739.099444113475,26.971608608618144,19659.59468302045,19749.8232227872,2.388652656616614
8.0,LMP + BESS Houston,,,19735.80038579108,40.51447896114103,19613.98646500258,19751.25840288484,-0.9104056657779438
8.0,LMP + BESS West,,,19736.07569242176,40.52285649928383,19614.500285477563,19751.500686763902,-0.635099035098392
8.0,LMP + BESS both,,,19735.16528675597,39.39827510710906,19616.62426689613,19750.12038915532,-1.5455047008872498
8.0,LMP + toll + BESS Houston,100.0,11.98108776103254,19738.189038447697,25.846010526535185,19662.003540916943,19748.48581447427,1.4782469908386702
8.0,LMP + toll + BESS West,100.0,11.981087761026478,19738.464345078377,25.854866535049137,19662.358477799837,19748.73659295879,1.753553621518222
8.0,LMP + toll + BESS both,100.0,11.981087761038605,19737.553939412588,24.72925428243037,19664.7727402942,19747.40290541817,0.8431479557293642
5.0,LMP only,,,19736.71079145686,41.6390937408279,19611.82198008206,19752.63870049342,0.0
5.0,LMP + toll,100.0,11.981087761038605,19740.899444113475,26.971608608618144,19661.394683020448,19751.6232227872,4.188652656615886
5.0,LMP + BESS Houston,,,19735.80038579108,40.51447896114103,19613.98646500258,19751.25840288484,-0.9104056657779438
5.0,LMP + BESS West,,,19736.07569242176,40.52285649928383,19614.500285477563,19751.500686763902,-0.635099035098392
5.0,LMP + BESS both,,,19735.16528675597,39.39827510710906,19616.62426689613,19750.12038915532,-1.5455047008872498
5.0,LMP + toll + BESS Houston,100.0,11.98108776103254,19739.989038447697,25.846010526535185,19663.803540916942,19750.285814474268,3.2782469908379426
5.0,LMP + toll + BESS West,100.0,11.981087761026478,19740.264345078376,25.854866535049137,19664.158477799836,19750.53659295879,3.5535536215174943
5.0,LMP + toll + BESS both,100.0,11.981087761038605,19739.353939412587,24.72925428243037,19666.5727402942,19749.20290541817,2.6431479557286366
