K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19754.02822403468,2.2348120369460958,100.0,19754.02822403468,2.2348120369460958,19751.793411997733
1.0,0.6,19753.428224034684,1.634812036951189,100.0,19753.428224034684,1.634812036951189,19751.793411997733
2.0,1.2,19752.82822403468,1.0348120369490061,100.0,19752.82822403468,1.0348120369490061,19751.793411997733
2.5,1.5,19752.52822403468,0.7348120369460958,100.0,19752.52822403468,0.7348120369460958,19751.793411997733
3.0,1.8,19752.228224034683,0.43481203695046133,100.0,19752.228224034683,0.43481203695046133,19751.793411997733
3.5,2.1,19751.928224034684,0.13481203695118893,100.0,19751.928224034684,0.13481203695118893,19751.793411997733
4.0,2.4,19751.62822403468,-0.16518796305172145,0.0,19751.793411997733,0.0,19751.793411997733
6.0,3.6,19750.428224034684,-1.365187963048811,0.0,19751.793411997733,0.0,19751.793411997733
8.0,4.8,19749.228224034683,-2.5651879630495387,0.0,19751.793411997733,0.0,19751.793411997733
12.0,7.2,19746.82822403468,-4.965187963050994,0.0,19751.793411997733,0.0,19751.793411997733
