K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19751.793411997733,1.6126471472875,19749.169432475985,19753.803970165165,0.0
8.0,LMP + toll,0.0,3.7246867282495564,19751.793411997733,1.6126471472875,19749.169432475985,19753.803970165165,0.0
8.0,LMP + BESS Houston,,,19750.460311885792,1.5495966491560786,19747.94223647821,19752.37709623797,-1.333100111940439
8.0,LMP + BESS West,,,19750.729979294632,1.5340754253047155,19748.23785026109,19752.61420337012,-1.0634327031002613
8.0,LMP + BESS both,,,19749.396879182685,1.4708905380196269,19747.01065426332,19751.18732944293,-2.3965328150479763
8.0,LMP + toll + BESS Houston,0.0,3.7246867282313665,19750.460311885792,1.5495966491560786,19747.94223647821,19752.37709623797,-1.333100111940439
8.0,LMP + toll + BESS West,0.0,3.7246867282434932,19750.729979294632,1.5340754253047155,19748.23785026109,19752.61420337012,-1.0634327031002613
8.0,LMP + toll + BESS both,0.0,3.7246867282495564,19749.396879182685,1.4708905380196269,19747.01065426332,19751.18732944293,-2.3965328150479763
5.0,LMP only,,,19751.793411997733,1.6126471472875,19749.169432475985,19753.803970165165,0.0
5.0,LMP + toll,0.0,3.7246867282495564,19751.793411997733,1.6126471472875,19749.169432475985,19753.803970165165,0.0
5.0,LMP + BESS Houston,,,19750.460311885792,1.5495966491560786,19747.94223647821,19752.37709623797,-1.333100111940439
5.0,LMP + BESS West,,,19750.729979294632,1.5340754253047155,19748.23785026109,19752.61420337012,-1.0634327031002613
5.0,LMP + BESS both,,,19749.396879182685,1.4708905380196269,19747.01065426332,19751.18732944293,-2.3965328150479763
5.0,LMP + toll + BESS Houston,0.0,3.7246867282313665,19750.460311885792,1.5495966491560786,19747.94223647821,19752.37709623797,-1.333100111940439
5.0,LMP + toll + BESS West,0.0,3.7246867282434932,19750.729979294632,1.5340754253047155,19748.23785026109,19752.61420337012,-1.0634327031002613
5.0,LMP + toll + BESS both,0.0,3.7246867282495564,19749.396879182685,1.4708905380196269,19747.01065426332,19751.18732944293,-2.3965328150479763
3.719,LMP only,,,19751.793411997733,1.6126471472875,19749.169432475985,19753.803970165165,0.0
3.719,LMP + toll,60.0,3.7246867282495564,19751.800502358317,1.472801528310464,,,0.007090360584697919
3.719,LMP + BESS Houston,,,19750.460311885792,1.5495966491560786,19747.94223647821,19752.37709623797,-1.333100111940439
3.719,LMP + BESS West,,,19750.729979294632,1.5340754253047155,19748.23785026109,19752.61420337012,-1.0634327031002613
3.719,LMP + BESS both,,,19749.396879182685,1.4708905380196269,19747.01065426332,19751.18732944293,-2.3965328150479763
3.719,LMP + toll + BESS Houston,60.0,3.7246867282313665,19750.467402246377,1.472801528310464,,,-1.3260097513557412
3.719,LMP + toll + BESS West,60.0,3.7246867282434932,19750.737069655217,1.472801528310464,,,-1.0563423425155634
3.719,LMP + toll + BESS both,60.0,3.7246867282495564,19749.40396954327,1.472801528310464,,,-2.3894424544632784
3.352,LMP only,,,19751.793411997733,1.6126471472875,19749.169432475985,19753.803970165165,0.0
3.352,LMP + toll,100.0,3.7246867282495564,19752.017024034678,1.3868136856662585,19749.724609669684,19753.720885624654,0.2236120369452692
3.352,LMP + BESS Houston,,,19750.460311885792,1.5495966491560786,19747.94223647821,19752.37709623797,-1.333100111940439
3.352,LMP + BESS West,,,19750.729979294632,1.5340754253047155,19748.23785026109,19752.61420337012,-1.0634327031002613
3.352,LMP + BESS both,,,19749.396879182685,1.4708905380196269,19747.01065426332,19751.18732944293,-2.3965328150479763
3.352,LMP + toll + BESS Houston,100.0,3.7246867282313665,19750.683923922737,1.3307700691153996,19748.497413671914,19752.335661779744,-1.1094880749951699
3.352,LMP + toll + BESS West,100.0,3.7246867282434932,19750.953591331578,1.307467820577816,19748.79302745479,19752.58126265201,-0.8398206661549921
3.352,LMP + toll + BESS both,100.0,3.7246867282495564,19749.62049121963,1.2516714788001846,19747.565831457017,19751.19965232121,-2.172920778102707
