K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19753.028627972937,2.8850978932860016,100.0,19753.028627972937,2.8850978932860016,19750.14353007965
1.0,0.6,19752.42862797294,2.285097893287457,100.0,19752.42862797294,2.285097893287457,19750.14353007965
2.0,1.2,19751.828627972936,1.685097893285274,100.0,19751.828627972936,1.685097893285274,19750.14353007965
2.5,1.5,19751.528627972937,1.3850978932860016,100.0,19751.528627972937,1.3850978932860016,19750.14353007965
3.0,1.8,19751.22862797294,1.0850978932903672,100.0,19751.22862797294,1.0850978932903672,19750.14353007965
3.5,2.1,19750.92862797294,0.7850978932874568,100.0,19750.92862797294,0.7850978932874568,19750.14353007965
4.0,2.4,19750.628627972932,0.48509789328090847,100.0,19750.628627972932,0.48509789328090847,19750.14353007965
6.0,3.6,19749.42862797294,-0.7149021067125432,0.0,19750.14353007965,0.0,19750.14353007965
8.0,4.8,19748.22862797294,-1.9149021067096328,0.0,19750.14353007965,0.0,19750.14353007965
12.0,7.2,19745.828627972936,-4.314902106714726,0.0,19750.14353007965,0.0,19750.14353007965
