K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19750.14353007965,2.575346834975996,19746.682556682237,19753.724450226226,0.0
8.0,LMP + toll,0.0,4.808496488816067,19750.14353007965,2.575346834975996,19746.682556682237,19753.724450226226,0.0
8.0,LMP + BESS Houston,,,19748.863011939065,2.485462817329584,19745.49768443588,19752.291187026545,-1.2805181405856274
8.0,LMP + BESS West,,,19749.12836132589,2.4730938519918846,19745.77411263969,19752.53240854173,-1.0151687537618272
8.0,LMP + BESS both,,,19747.847843185304,2.383172088897642,19744.589240393336,19751.09253014268,-2.2956868943474547
8.0,LMP + toll + BESS Houston,0.0,4.808496488803939,19748.863011939065,2.485462817329584,19745.49768443588,19752.291187026545,-1.2805181405856274
8.0,LMP + toll + BESS West,0.0,4.808496488816067,19749.12836132589,2.4730938519918846,19745.77411263969,19752.53240854173,-1.0151687537618272
8.0,LMP + toll + BESS both,0.0,4.808496488810003,19747.847843185304,2.383172088897642,19744.589240393336,19751.09253014268,-2.2956868943474547
5.0,LMP only,,,19750.14353007965,2.575346834975996,19746.682556682237,19753.724450226226,0.0
5.0,LMP + toll,0.0,4.808496488816067,19750.14353007965,2.575346834975996,19746.682556682237,19753.724450226226,0.0
5.0,LMP + BESS Houston,,,19748.863011939065,2.485462817329584,19745.49768443588,19752.291187026545,-1.2805181405856274
5.0,LMP + BESS West,,,19749.12836132589,2.4730938519918846,19745.77411263969,19752.53240854173,-1.0151687537618272
5.0,LMP + BESS both,,,19747.847843185304,2.383172088897642,19744.589240393336,19751.09253014268,-2.2956868943474547
5.0,LMP + toll + BESS Houston,0.0,4.808496488803939,19748.863011939065,2.485462817329584,19745.49768443588,19752.291187026545,-1.2805181405856274
5.0,LMP + toll + BESS West,0.0,4.808496488816067,19749.12836132589,2.4730938519918846,19745.77411263969,19752.53240854173,-1.0151687537618272
5.0,LMP + toll + BESS both,0.0,4.808496488810003,19747.847843185304,2.383172088897642,19744.589240393336,19751.09253014268,-2.2956868943474547
4.803,LMP only,,,19750.14353007965,2.575346834975996,19746.682556682237,19753.724450226226,0.0
4.803,LMP + toll,60.0,4.808496488816067,19750.151796998347,2.157733158745043,,,0.008266918695881031
4.803,LMP + BESS Houston,,,19748.863011939065,2.485462817329584,19745.49768443588,19752.291187026545,-1.2805181405856274
4.803,LMP + BESS West,,,19749.12836132589,2.4730938519918846,19745.77411263969,19752.53240854173,-1.0151687537618272
4.803,LMP + BESS both,,,19747.847843185304,2.383172088897642,19744.589240393336,19751.09253014268,-2.2956868943474547
4.803,LMP + toll + BESS Houston,60.0,4.808496488803939,19748.87127885776,2.157733158745043,,,-1.2722512218897464
4.803,LMP + toll + BESS West,60.0,4.808496488816067,19749.136628244585,2.157733158745043,,,-1.0069018350659462
4.803,LMP + toll + BESS both,60.0,4.808496488810003,19747.856110104,2.157733158745043,,,-2.2874199756515736
4.328,LMP only,,,19750.14353007965,2.575346834975996,19746.682556682237,19753.724450226226,0.0
4.328,LMP + toll,100.0,4.808496488816067,19750.431827972938,1.8938004039397347,19747.853369002827,19753.034073210707,0.28829789328665356
4.328,LMP + BESS Houston,,,19748.863011939065,2.485462817329584,19745.49768443588,19752.291187026545,-1.2805181405856274
4.328,LMP + BESS West,,,19749.12836132589,2.4730938519918846,19745.77411263969,19752.53240854173,-1.0151687537618272
4.328,LMP + BESS both,,,19747.847843185304,2.383172088897642,19744.589240393336,19751.09253014268,-2.2956868943474547
4.328,LMP + toll + BESS Houston,100.0,4.808496488803939,19749.151309832352,1.8079984477108983,19746.64939352927,19751.6804132672,-0.9922202472989738
4.328,LMP + toll + BESS West,100.0,4.808496488816067,19749.416659219176,1.790064828296024,19746.94267245483,19751.87984770017,-0.7268708604751737
4.328,LMP + toll + BESS both,100.0,4.808496488810003,19748.13614107859,1.704380361039311,19745.749314983685,19750.49542998811,-2.007389001060801
