K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19752.17370992008,3.5824923865257006,100.0,19752.17370992008,3.5824923865257006,19748.591217533554
1.0,0.6,19751.57370992008,2.9824923865271558,100.0,19751.57370992008,2.9824923865271558,19748.591217533554
2.0,1.2,19750.973709920083,2.382492386528611,100.0,19750.973709920083,2.382492386528611,19748.591217533554
2.5,1.5,19750.67370992008,2.0824923865257006,100.0,19750.67370992008,2.0824923865257006,19748.591217533554
3.0,1.8,19750.373709920084,1.7824923865300661,100.0,19750.373709920084,1.7824923865300661,19748.591217533554
3.5,2.1,19750.07370992008,1.4824923865271558,100.0,19750.07370992008,1.4824923865271558,19748.591217533554
4.0,2.4,19749.773709920075,1.1824923865206074,100.0,19749.773709920075,1.1824923865206074,19748.591217533554
6.0,3.6,19748.57370992008,-0.01750761347284424,20.0,19748.59225738002,0.0010398464655736461,19748.591217533554
8.0,4.8,19747.373709920084,-1.2175076134699339,0.0,19748.591217533554,0.0,19748.591217533554
12.0,7.2,19744.973709920083,-3.617507613471389,0.0,19748.591217533554,0.0,19748.591217533554
