K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19748.591217533554,7.387593563082039,19732.08517756001,19753.803970165165,0.0
8.0,LMP + toll,0.0,5.970820644215564,19748.591217533554,7.387593563082039,19732.08517756001,19753.803970165165,0.0
8.0,LMP + BESS Houston,,,19747.40852401585,7.044190664313115,19731.6951429979,19752.37709623797,-1.1826935177050473
8.0,LMP + BESS West,,,19747.682617001108,7.037763168510413,19731.88892213729,19752.61420337012,-0.9086005324461439
8.0,LMP + BESS both,,,19746.4999234834,6.694548801177638,19731.498887575184,19751.18732944293,-2.091294050154829
8.0,LMP + toll + BESS Houston,0.0,5.970820644197374,19747.40852401585,7.044190664313115,19731.6951429979,19752.37709623797,-1.1826935177050473
8.0,LMP + toll + BESS West,0.0,5.970820644215564,19747.682617001108,7.037763168510413,19731.88892213729,19752.61420337012,-0.9086005324461439
8.0,LMP + toll + BESS both,0.0,5.970820644215564,19746.4999234834,6.694548801177638,19731.498887575184,19751.18732944293,-2.091294050154829
5.964,LMP only,,,19748.591217533554,7.387593563082039,19732.08517756001,19753.803970165165,0.0
5.964,LMP + toll,60.0,5.970820644215564,19748.60142640448,5.648558651924122,,,0.01020887092454359
5.964,LMP + BESS Houston,,,19747.40852401585,7.044190664313115,19731.6951429979,19752.37709623797,-1.1826935177050473
5.964,LMP + BESS West,,,19747.682617001108,7.037763168510413,19731.88892213729,19752.61420337012,-0.9086005324461439
5.964,LMP + BESS both,,,19746.4999234834,6.694548801177638,19731.498887575184,19751.18732944293,-2.091294050154829
5.964,LMP + toll + BESS Houston,60.0,5.970820644197374,19747.418732886774,5.648558651924122,,,-1.1724846467805037
5.964,LMP + toll + BESS West,60.0,5.970820644215564,19747.692825872033,5.648558651924122,,,-0.8983916615216003
5.964,LMP + toll + BESS both,60.0,5.970820644215564,19746.510132354324,5.648558651924122,,,-2.0810851792302856
5.374,LMP only,,,19748.591217533554,7.387593563082039,19732.08517756001,19753.803970165165,0.0
5.374,LMP + toll,100.0,5.970820644215564,19748.94930992008,4.511546057925022,19739.15704738365,19752.507685624656,0.3580923865265504
5.374,LMP + BESS Houston,,,19747.40852401585,7.044190664313115,19731.6951429979,19752.37709623797,-1.1826935177050473
5.374,LMP + BESS West,,,19747.682617001108,7.037763168510413,19731.88892213729,19752.61420337012,-0.9086005324461439
5.374,LMP + BESS both,,,19746.4999234834,6.694548801177638,19731.498887575184,19751.18732944293,-2.091294050154829
5.374,LMP + toll + BESS Houston,100.0,5.970820644197374,19747.766616402376,4.175319331606635,19738.767012821543,19751.122461779745,-0.8246011311784969
5.374,LMP + toll + BESS West,100.0,5.970820644215564,19748.040709387635,4.165075303344543,19738.960791960933,19751.36806265201,-0.5505081459195935
5.374,LMP + toll + BESS both,100.0,5.970820644215564,19746.858015869926,3.8301286850501497,19738.570757398826,19749.986452321213,-1.7332016636282788
5.0,LMP only,,,19748.591217533554,7.387593563082039,19732.08517756001,19753.803970165165,0.0
5.0,LMP + toll,100.0,5.970820644215564,19749.17370992008,4.511546057925022,19739.38144738365,19752.732085624655,0.5824923865257006
5.0,LMP + BESS Houston,,,19747.40852401585,7.044190664313115,19731.6951429979,19752.37709623797,-1.1826935177050473
5.0,LMP + BESS West,,,19747.682617001108,7.037763168510413,19731.88892213729,19752.61420337012,-0.9086005324461439
5.0,LMP + BESS both,,,19746.4999234834,6.694548801177638,19731.498887575184,19751.18732944293,-2.091294050154829
5.0,LMP + toll + BESS Houston,100.0,5.970820644197374,19747.991016402375,4.175319331606635,19738.991412821542,19751.346861779744,-0.6002011311793467
5.0,LMP + toll + BESS West,100.0,5.970820644215564,19748.265109387634,4.165075303344543,19739.185191960933,19751.59246265201,-0.32610814592044335
5.0,LMP + toll + BESS both,100.0,5.970820644215564,19747.082415869925,3.8301286850501497,19738.795157398825,19750.210852321212,-1.5088016636291286
