K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19745.055914475586,7.12301159607523,100.0,19745.055914475586,7.12301159607523,19737.93290287951
1.0,0.6,19744.45591447559,6.523011596080323,100.0,19744.45591447559,6.523011596080323,19737.93290287951
2.0,1.2,19743.855914475585,5.9230115960745024,100.0,19743.855914475585,5.9230115960745024,19737.93290287951
2.5,1.5,19743.555914475586,5.62301159607523,100.0,19743.555914475586,5.62301159607523,19737.93290287951
3.0,1.8,19743.255914475587,5.323011596075958,100.0,19743.255914475587,5.323011596075958,19737.93290287951
3.5,2.1,19742.95591447559,5.023011596080323,100.0,19742.95591447559,5.023011596080323,19737.93290287951
4.0,2.4,19742.655914475585,4.723011596073775,100.0,19742.655914475585,4.723011596073775,19737.93290287951
6.0,3.6,19741.45591447559,3.523011596080323,100.0,19741.45591447559,3.523011596080323,19737.93290287951
8.0,4.8,19740.255914475587,2.3230115960759576,100.0,19740.255914475587,2.3230115960759576,19737.93290287951
12.0,7.2,19737.855914475585,-0.07698840392549755,0.0,19737.93290287951,0.0,19737.93290287951
