K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
11.866,LMP only,,,19737.93290287951,41.64432846120053,19612.99348573138,19753.803970165165,0.0
11.866,LMP + toll,60.0,11.871685993458717,19737.939992975567,32.840630487465816,,,0.007090096056344919
11.866,LMP + BESS Houston,,,19736.97326005403,40.51954000096634,19615.15950643837,19752.37709623797,-0.9596428254808416
11.866,LMP + BESS West,,,19737.242418995804,40.527681351053616,19615.61762853941,19752.61420337012,-0.690483883707202
11.866,LMP + BESS both,,,19736.282776170323,39.40292613355412,19617.70434286584,19751.18732944293,-1.6501267091880436
11.866,LMP + toll + BESS Houston,60.0,11.87168599346478,19736.980350150086,32.840630487465816,,,-0.9525527294244966
11.866,LMP + toll + BESS West,60.0,11.87168599346478,19737.24950909186,32.840630487465816,,,-0.6833937876508571
11.866,LMP + toll + BESS both,60.0,11.871685993458717,19736.28986626638,32.840630487465816,,,-1.6430366131316987
10.685,LMP only,,,19737.93290287951,41.64432846120053,19612.99348573138,19753.803970165165,0.0
10.685,LMP + toll,100.0,11.871685993458717,19738.644914475582,26.97580193688161,19659.09006662783,19749.321085624655,0.7120115960715339
10.685,LMP + BESS Houston,,,19736.97326005403,40.51954000096634,19615.15950643837,19752.37709623797,-0.9596428254808416
10.685,LMP + BESS West,,,19737.242418995804,40.527681351053616,19615.61762853941,19752.61420337012,-0.690483883707202
10.685,LMP + BESS both,,,19736.282776170323,39.40292613355412,19617.70434286584,19751.18732944293,-1.6501267091880436
10.685,LMP + toll + BESS Houston,100.0,11.87168599346478,19737.6852716501,25.850016758538715,19661.45424753391,19747.935861779744,-0.2476312294093077
10.685,LMP + toll + BESS West,100.0,11.87168599346478,19737.954430591875,25.858666858552787,19661.801017641188,19748.18146265201,0.02152771236433182
10.685,LMP + toll + BESS both,100.0,11.871685993458717,19736.994787766394,24.73286742916426,19664.170211719844,19746.79985232121,-0.9381151131165097
8.0,LMP only,,,19737.93290287951,41.64432846120053,19612.99348573138,19753.803970165165,0.0
8.0,LMP + toll,100.0,11.871685993458717,19740.255914475583,26.97580193688161,19660.70106662783,19750.932085624656,2.3230115960723197
8.0,LMP + BESS Houston,,,19736.97326005403,40.51954000096634,19615.15950643837,19752.37709623797,-0.9596428254808416
8.0,LMP + BESS West,,,19737.242418995804,40.527681351053616,19615.61762853941,19752.61420337012,-0.690483883707202
8.0,LMP + BESS both,,,19736.282776170323,39.40292613355412,19617.70434286584,19751.18732944293,-1.6501267091880436
8.0,LMP + toll + BESS Houston,100.0,11.87168599346478,19739.296271650102,25.850016758538715,19663.065247533912,19749.546861779745,1.363368770591478
8.0,LMP + toll + BESS West,100.0,11.87168599346478,19739.565430591876,25.858666858552787,19663.41201764119,19749.79246265201,1.6325277123651176
8.0,LMP + toll + BESS both,100.0,11.871685993458717,19738.605787766395,24.73286742916426,19665.781211719845,19748.410852321213,0.6728848868842761
5.0,LMP only,,,19737.93290287951,41.64432846120053,19612.99348573138,19753.803970165165,0.0
5.0,LMP + toll,100.0,11.871685993458717,19742.055914475583,26.97580193688161,19662.50106662783,19752.732085624655,4.123011596071592
5.0,LMP + BESS Houston,,,19736.97326005403,40.51954000096634,19615.15950643837,19752.37709623797,-0.9596428254808416
5.0,LMP + BESS West,,,19737.242418995804,40.527681351053616,19615.61762853941,19752.61420337012,-0.690483883707202
5.0,LMP + BESS both,,,19736.282776170323,39.40292613355412,19617.70434286584,19751.18732944293,-1.6501267091880436
5.0,LMP + toll + BESS Houston,100.0,11.87168599346478,19741.0962716501,25.850016758538715,19664.86524753391,19751.346861779744,3.1633687705907505
5.0,LMP + toll + BESS West,100.0,11.87168599346478,19741.365430591875,25.858666858552787,19665.212017641188,19751.59246265201,3.43252771236439
5.0,LMP + toll + BESS both,100.0,11.871685993458717,19740.405787766394,24.73286742916426,19667.581211719844,19750.210852321212,2.4728848868835485
