K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19754.38176513168,2.180097934873629,100.0,19754.38176513168,2.180097934873629,19752.201667196805
1.0,0.6,19753.781765131684,1.5800979348787223,100.0,19753.781765131684,1.5800979348787223,19752.201667196805
2.0,1.2,19753.18176513168,0.9800979348765395,100.0,19753.18176513168,0.9800979348765395,19752.201667196805
2.5,1.5,19752.88176513168,0.6800979348736291,100.0,19752.88176513168,0.6800979348736291,19752.201667196805
3.0,1.8,19752.581765131687,0.3800979348816327,100.0,19752.581765131687,0.3800979348816327,19752.201667196805
3.5,2.1,19752.281765131684,0.0800979348787223,100.0,19752.281765131684,0.0800979348787223,19752.201667196805
4.0,2.4,19751.98176513168,-0.21990206512418808,0.0,19752.201667196805,0.0,19752.201667196805
6.0,3.6,19750.781765131684,-1.4199020651212777,0.0,19752.201667196805,0.0,19752.201667196805
8.0,4.8,19749.581765131687,-2.6199020651183673,0.0,19752.201667196805,0.0,19752.201667196805
12.0,7.2,19747.18176513168,-5.0199020651234605,0.0,19752.201667196805,0.0,19752.201667196805
