K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19752.201667196805,1.5967166826469272,19749.603604920383,19754.19239336705,0.0
8.0,LMP + toll,0.0,3.633496558134842,19752.201667196805,1.5967166826469272,19749.603604920383,19754.19239336705,0.0
8.0,LMP + BESS Houston,,,19750.85211239136,1.5342908866089908,19748.358905324894,19752.74999401704,-1.3495548054452229
8.0,LMP + BESS West,,,19751.119728272508,1.5189270780885653,19748.65220490805,19752.98537731605,-1.081938924296992
8.0,LMP + BESS both,,,19749.770173467063,1.456368177942859,19747.407505312567,19751.54297796604,-2.431493729742215
8.0,LMP + toll + BESS Houston,0.0,3.633496558134842,19750.85211239136,1.5342908866089908,19748.358905324894,19752.74999401704,-1.3495548054452229
8.0,LMP + toll + BESS West,0.0,3.633496558122715,19751.119728272508,1.5189270780885653,19748.65220490805,19752.98537731605,-1.081938924296992
8.0,LMP + toll + BESS both,0.0,3.633496558134842,19749.770173467063,1.456368177942859,19747.407505312567,19751.54297796604,-2.431493729742215
5.0,LMP only,,,19752.201667196805,1.5967166826469272,19749.603604920383,19754.19239336705,0.0
5.0,LMP + toll,0.0,3.633496558134842,19752.201667196805,1.5967166826469272,19749.603604920383,19754.19239336705,0.0
5.0,LMP + BESS Houston,,,19750.85211239136,1.5342908866089908,19748.358905324894,19752.74999401704,-1.3495548054452229
5.0,LMP + BESS West,,,19751.119728272508,1.5189270780885653,19748.65220490805,19752.98537731605,-1.081938924296992
5.0,LMP + BESS both,,,19749.770173467063,1.456368177942859,19747.407505312567,19751.54297796604,-2.431493729742215
5.0,LMP + toll + BESS Houston,0.0,3.633496558134842,19750.85211239136,1.5342908866089908,19748.358905324894,19752.74999401704,-1.3495548054452229
5.0,LMP + toll + BESS West,0.0,3.633496558122715,19751.119728272508,1.5189270780885653,19748.65220490805,19752.98537731605,-1.081938924296992
5.0,LMP + toll + BESS both,0.0,3.633496558134842,19749.770173467063,1.456368177942859,19747.407505312567,19751.54297796604,-2.431493729742215
3.628,LMP only,,,19752.201667196805,1.5967166826469272,19749.603604920383,19754.19239336705,0.0
3.628,LMP + toll,60.0,3.633496558134842,19752.208571746854,1.4598403411433158,,,0.006904550049512181
3.628,LMP + BESS Houston,,,19750.85211239136,1.5342908866089908,19748.358905324894,19752.74999401704,-1.3495548054452229
3.628,LMP + BESS West,,,19751.119728272508,1.5189270780885653,19748.65220490805,19752.98537731605,-1.081938924296992
3.628,LMP + BESS both,,,19749.770173467063,1.456368177942859,19747.407505312567,19751.54297796604,-2.431493729742215
3.628,LMP + toll + BESS Houston,60.0,3.633496558134842,19750.85901694141,1.4598403411433158,,,-1.3426502553957107
3.628,LMP + toll + BESS West,60.0,3.633496558122715,19751.126632822557,1.4598403411433158,,,-1.0750343742474797
3.628,LMP + toll + BESS both,60.0,3.633496558134842,19749.777078017112,1.4598403411433158,,,-2.4245891796927026
3.27,LMP only,,,19752.201667196805,1.5967166826469272,19749.603604920383,19754.19239336705,0.0
3.27,LMP + toll,100.0,3.633496558134842,19752.41976513168,1.3757588018491111,19750.1459855842,19754.109845788564,0.2180979348740948
3.27,LMP + BESS Houston,,,19750.85211239136,1.5342908866089908,19748.358905324894,19752.74999401704,-1.3495548054452229
3.27,LMP + BESS West,,,19751.119728272508,1.5189270780885653,19748.65220490805,19752.98537731605,-1.081938924296992
3.27,LMP + BESS both,,,19749.770173467063,1.456368177942859,19747.407505312567,19751.54297796604,-2.431493729742215
3.27,LMP + toll + BESS Houston,100.0,3.633496558134842,19751.070210326234,1.3202172931470335,19748.90128598872,19752.70868343871,-1.131456870571128
3.27,LMP + toll + BESS West,100.0,3.633496558122715,19751.337826207382,1.2972249120435315,19749.194585571862,19752.95234605093,-0.8638409894228971
3.27,LMP + toll + BESS both,100.0,3.633496558134842,19749.988271401937,1.2419252528916611,19747.949885976384,19751.554761461888,-2.21339579486812
