K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19753.379755966555,2.830877598025836,100.0,19753.379755966555,2.830877598025836,19750.54887836853
1.0,0.6,19752.779755966556,2.2308775980272912,100.0,19752.779755966556,2.2308775980272912,19750.54887836853
2.0,1.2,19752.179755966557,1.6308775980287464,100.0,19752.179755966557,1.6308775980287464,19750.54887836853
2.5,1.5,19751.879755966555,1.330877598025836,100.0,19751.879755966555,1.330877598025836,19750.54887836853
3.0,1.8,19751.579755966555,1.0308775980265636,100.0,19751.579755966555,1.0308775980265636,19750.54887836853
3.5,2.1,19751.279755966556,0.7308775980272912,100.0,19751.279755966556,0.7308775980272912,19750.54887836853
4.0,2.4,19750.979755966553,0.43087759802438086,100.0,19750.979755966553,0.43087759802438086,19750.54887836853
6.0,3.6,19749.779755966556,-0.7691224019727088,0.0,19750.54887836853,0.0,19750.54887836853
8.0,4.8,19748.579755966555,-1.9691224019734364,0.0,19750.54887836853,0.0,19750.54887836853
12.0,7.2,19746.179755966557,-4.369122401971254,0.0,19750.54887836853,0.0,19750.54887836853
