K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19750.54887836853,2.566694197820378,19747.097950421597,19754.113727141008,0.0
8.0,LMP + toll,0.0,4.718129330043061,19750.54887836853,2.566694197820378,19747.097950421597,19754.113727141008,0.0
8.0,LMP + BESS Houston,,,19749.25205717402,2.4771675925006766,19745.89664683426,19752.665001808324,-1.2968211945080839
8.0,LMP + BESS West,,,19749.515399060325,2.464987661212372,19746.171000312414,19752.90443907379,-1.0334793082038232
8.0,LMP + BESS both,,,19748.218577865817,2.375424371832098,19744.969696725075,19751.44916409966,-2.330300502711907
8.0,LMP + toll + BESS Houston,0.0,4.7181293300309335,19749.25205717402,2.4771675925006766,19745.89664683426,19752.665001808324,-1.2968211945080839
8.0,LMP + toll + BESS West,0.0,4.718129330049123,19749.515399060325,2.464987661212372,19746.171000312414,19752.90443907379,-1.0334793082038232
8.0,LMP + toll + BESS both,0.0,4.718129330043061,19748.218577865817,2.375424371832098,19744.969696725075,19751.44916409966,-2.330300502711907
5.0,LMP only,,,19750.54887836853,2.566694197820378,19747.097950421597,19754.113727141008,0.0
5.0,LMP + toll,0.0,4.718129330043061,19750.54887836853,2.566694197820378,19747.097950421597,19754.113727141008,0.0
5.0,LMP + BESS Houston,,,19749.25205717402,2.4771675925006766,19745.89664683426,19752.665001808324,-1.2968211945080839
5.0,LMP + BESS West,,,19749.515399060325,2.464987661212372,19746.171000312414,19752.90443907379,-1.0334793082038232
5.0,LMP + BESS both,,,19748.218577865817,2.375424371832098,19744.969696725075,19751.44916409966,-2.330300502711907
5.0,LMP + toll + BESS Houston,0.0,4.7181293300309335,19749.25205717402,2.4771675925006766,19745.89664683426,19752.665001808324,-1.2968211945080839
5.0,LMP + toll + BESS West,0.0,4.718129330049123,19749.515399060325,2.464987661212372,19746.171000312414,19752.90443907379,-1.0334793082038232
5.0,LMP + toll + BESS both,0.0,4.718129330043061,19748.218577865817,2.375424371832098,19744.969696725075,19751.44916409966,-2.330300502711907
4.713,LMP only,,,19750.54887836853,2.566694197820378,19747.097950421597,19754.113727141008,0.0
4.713,LMP + toll,60.0,4.718129330043061,19750.556903730332,2.1500405510172134,,,0.008025361803447595
4.713,LMP + BESS Houston,,,19749.25205717402,2.4771675925006766,19745.89664683426,19752.665001808324,-1.2968211945080839
4.713,LMP + BESS West,,,19749.515399060325,2.464987661212372,19746.171000312414,19752.90443907379,-1.0334793082038232
4.713,LMP + BESS both,,,19748.218577865817,2.375424371832098,19744.969696725075,19751.44916409966,-2.330300502711907
4.713,LMP + toll + BESS Houston,60.0,4.7181293300309335,19749.260082535824,2.1500405510172134,,,-1.2887958327046363
4.713,LMP + toll + BESS West,60.0,4.718129330049123,19749.52342442213,2.1500405510172134,,,-1.0254539464003756
4.713,LMP + toll + BESS both,60.0,4.718129330043061,19748.22660322762,2.1500405510172134,,,-2.3222751409084594
4.246,LMP only,,,19750.54887836853,2.566694197820378,19747.097950421597,19754.113727141008,0.0
4.246,LMP + toll,100.0,4.718129330043061,19750.832155966553,1.886806669597586,19748.26120297257,19753.422251213913,0.2832775980241422
4.246,LMP + BESS Houston,,,19749.25205717402,2.4771675925006766,19745.89664683426,19752.665001808324,-1.2968211945080839
4.246,LMP + BESS West,,,19749.515399060325,2.464987661212372,19746.171000312414,19752.90443907379,-1.0334793082038232
4.246,LMP + BESS both,,,19748.218577865817,2.375424371832098,19744.969696725075,19751.44916409966,-2.330300502711907
4.246,LMP + toll + BESS Houston,100.0,4.7181293300309335,19749.535334772045,1.801272323394696,19747.051185422042,19752.05234041268,-1.0135435964839417
4.246,LMP + toll + BESS West,100.0,4.718129330049123,19749.79867665835,1.7836556972621078,19747.331992103213,19752.25245000677,-0.750201710179681
4.246,LMP + toll + BESS both,100.0,4.718129330043061,19748.50185546384,1.6982363855231986,19746.122294273886,19750.850779256903,-2.047022904687765
