K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19752.525992019884,3.527987558132736,100.0,19752.525992019884,3.527987558132736,19748.99800446175
1.0,0.6,19751.925992019886,2.927987558134191,100.0,19751.925992019886,2.927987558134191,19748.99800446175
2.0,1.2,19751.325992019883,2.3279875581320084,100.0,19751.325992019883,2.3279875581320084,19748.99800446175
2.5,1.5,19751.025992019884,2.027987558132736,100.0,19751.025992019884,2.027987558132736,19748.99800446175
3.0,1.8,19750.725992019885,1.7279875581334636,100.0,19750.725992019885,1.7279875581334636,19748.99800446175
3.5,2.1,19750.425992019886,1.4279875581341912,100.0,19750.425992019886,1.4279875581341912,19748.99800446175
4.0,2.4,19750.125992019883,1.1279875581312808,100.0,19750.125992019883,1.1279875581312808,19748.99800446175
6.0,3.6,19748.925992019886,-0.0720124418658088,0.0,19748.99800446175,0.0,19748.99800446175
8.0,4.8,19747.725992019885,-1.2720124418665364,0.0,19748.99800446175,0.0,19748.99800446175
12.0,7.2,19745.325992019883,-3.6720124418679916,0.0,19748.99800446175,0.0,19748.99800446175
