K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19748.99800446175,7.38409371685307,19732.4949692943,19754.19239336705,0.0
8.0,LMP + toll,0.0,5.87997926355456,19748.99800446175,7.38409371685307,19732.4949692943,19754.19239336705,0.0
8.0,LMP + BESS Houston,,,19747.79892411445,7.040837141484047,19732.08809375534,19752.74999401704,-1.1990803473017877
8.0,LMP + BESS West,,,19748.07098603636,7.034382979543856,19732.28065492119,19752.98537731605,-0.9270184253909974
8.0,LMP + BESS both,,,19746.87190568905,6.691315743525662,19731.873779382226,19751.54297796604,-2.126098772700061
8.0,LMP + toll + BESS Houston,0.0,5.87997926355456,19747.79892411445,7.040837141484047,19732.08809375534,19752.74999401704,-1.1990803473017877
8.0,LMP + toll + BESS West,0.0,5.879979263548497,19748.07098603636,7.034382979543856,19732.28065492119,19752.98537731605,-0.9270184253909974
8.0,LMP + toll + BESS both,0.0,5.879979263560624,19746.87190568905,6.691315743525662,19731.873779382226,19751.54297796604,-2.126098772700061
5.874,LMP only,,,19748.99800446175,7.38409371685307,19732.4949692943,19754.19239336705,0.0
5.874,LMP + toll,60.0,5.87997926355456,19749.007793086355,5.645647508157725,,,0.009788624603970675
5.874,LMP + BESS Houston,,,19747.79892411445,7.040837141484047,19732.08809375534,19752.74999401704,-1.1990803473017877
5.874,LMP + BESS West,,,19748.07098603636,7.034382979543856,19732.28065492119,19752.98537731605,-0.9270184253909974
5.874,LMP + BESS both,,,19746.87190568905,6.691315743525662,19731.873779382226,19751.54297796604,-2.126098772700061
5.874,LMP + toll + BESS Houston,60.0,5.87997926355456,19747.808712739054,5.645647508157725,,,-1.189291722697817
5.874,LMP + toll + BESS West,60.0,5.879979263548497,19748.080774660964,5.645647508157725,,,-0.9172298007870268
5.874,LMP + toll + BESS both,60.0,5.879979263560624,19746.881694313655,5.645647508157725,,,-2.1163101480960904
5.292,LMP only,,,19748.99800446175,7.38409371685307,19732.4949692943,19754.19239336705,0.0
5.292,LMP + toll,100.0,5.87997926355456,19749.350792019883,4.508978725808278,19739.556917565973,19752.896645788565,0.3527875581312401
5.292,LMP + BESS Houston,,,19747.79892411445,7.040837141484047,19732.08809375534,19752.74999401704,-1.1990803473017877
5.292,LMP + BESS West,,,19748.07098603636,7.034382979543856,19732.28065492119,19752.98537731605,-0.9270184253909974
5.292,LMP + BESS both,,,19746.87190568905,6.691315743525662,19731.873779382226,19751.54297796604,-2.126098772700061
5.292,LMP + toll + BESS Houston,100.0,5.87997926355456,19748.15171167258,4.172810117201953,19739.150042027013,19751.49548343871,-0.8462927891705476
5.292,LMP + toll + BESS West,100.0,5.879979263548497,19748.42377359449,4.162632689140772,19739.34260319286,19751.73914605093,-0.5742308672597574
5.292,LMP + toll + BESS both,100.0,5.879979263560624,19747.224693247183,3.827738349489111,19738.9357276539,19750.34156146189,-1.773311214568821
5.0,LMP only,,,19748.99800446175,7.38409371685307,19732.4949692943,19754.19239336705,0.0
5.0,LMP + toll,100.0,5.87997926355456,19749.525992019884,4.508978725808278,19739.73211756597,19753.071845788563,0.527987558132736
5.0,LMP + BESS Houston,,,19747.79892411445,7.040837141484047,19732.08809375534,19752.74999401704,-1.1990803473017877
5.0,LMP + BESS West,,,19748.07098603636,7.034382979543856,19732.28065492119,19752.98537731605,-0.9270184253909974
5.0,LMP + BESS both,,,19746.87190568905,6.691315743525662,19731.873779382226,19751.54297796604,-2.126098772700061
5.0,LMP + toll + BESS Houston,100.0,5.87997926355456,19748.326911672582,4.172810117201953,19739.32524202701,19751.670683438708,-0.6710927891690517
5.0,LMP + toll + BESS West,100.0,5.879979263548497,19748.598973594493,4.162632689140772,19739.51780319286,19751.91434605093,-0.3990308672582614
5.0,LMP + toll + BESS both,100.0,5.879979263560624,19747.399893247184,3.827738349489111,19739.1109276539,19750.516761461888,-1.598111214567325
