K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19745.4087323414,7.068457623499853,100.0,19745.4087323414,7.068457623499853,19738.3402747179
1.0,0.6,19744.8087323414,6.468457623501308,100.0,19744.8087323414,6.468457623501308,19738.3402747179
2.0,1.2,19744.2087323414,5.8684576235027635,100.0,19744.2087323414,5.8684576235027635,19738.3402747179
2.5,1.5,19743.9087323414,5.568457623499853,100.0,19743.9087323414,5.568457623499853,19738.3402747179
3.0,1.8,19743.6087323414,5.268457623500581,100.0,19743.6087323414,5.268457623500581,19738.3402747179
3.5,2.1,19743.3087323414,4.968457623501308,100.0,19743.3087323414,4.968457623501308,19738.3402747179
4.0,2.4,19743.008732341397,4.668457623498398,100.0,19743.008732341397,4.668457623498398,19738.3402747179
6.0,3.6,19741.8087323414,3.4684576235013083,100.0,19741.8087323414,3.4684576235013083,19738.3402747179
8.0,4.8,19740.6087323414,2.2684576235005807,100.0,19740.6087323414,2.2684576235005807,19738.3402747179
12.0,7.2,19738.2087323414,-0.13154237649723655,0.0,19738.3402747179,0.0,19738.3402747179
