K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
11.776,LMP only,,,19738.3402747179,41.646086114745344,19613.383988613507,19754.19239336705,0.0
11.776,LMP + toll,60.0,11.780762705833089,19738.34691508112,32.84239347180491,,,0.006640363222686574
11.776,LMP + BESS Houston,,,19737.364219512903,40.52123912462261,19615.55052121996,19752.74999401704,-0.9760552049956459
11.776,LMP + BESS West,,,19737.631331111235,40.52930156037117,19615.990078669973,19752.98537731605,-0.7089436066635244
11.776,LMP + BESS both,,,19736.655275906287,39.40448776997871,19618.07707874439,19751.54297796604,-1.6849988116118766
11.776,LMP + toll + BESS Houston,60.0,11.780762705833089,19737.370859876126,32.84239347180491,,,-0.9694148417729593
11.776,LMP + toll + BESS West,60.0,11.780762705833089,19737.637971474458,32.84239347180491,,,-0.7023032434408378
11.776,LMP + toll + BESS both,60.0,11.780762705754267,19736.66191626951,32.84239347180491,,,-1.67835844838919
10.603,LMP only,,,19738.3402747179,41.646086114745344,19613.383988613507,19754.19239336705,0.0
10.603,LMP + toll,100.0,11.780762705833089,19739.0469323414,26.97761074876908,19659.477431995583,19749.710045788564,0.7066576235010871
10.603,LMP + BESS Houston,,,19737.364219512903,40.52123912462261,19615.55052121996,19752.74999401704,-0.9760552049956459
10.603,LMP + BESS West,,,19737.631331111235,40.52930156037117,19615.990078669973,19752.98537731605,-0.7089436066635244
10.603,LMP + BESS both,,,19736.655275906287,39.40448776997871,19618.07707874439,19751.54297796604,-1.6849988116118766
10.603,LMP + toll + BESS Houston,100.0,11.780762705833089,19738.070877136404,25.851760198215946,19661.82666351948,19748.30888343871,-0.26939758149455884
10.603,LMP + toll + BESS West,100.0,11.780762705833089,19738.337988734736,25.86034281284756,19662.170769956258,19748.55254605093,-0.002285983162437333
10.603,LMP + toll + BESS both,100.0,11.780762705754267,19737.361933529788,24.734477838996785,19664.524884115253,19747.15496146189,-0.9783411881107895
8.0,LMP only,,,19738.3402747179,41.646086114745344,19613.383988613507,19754.19239336705,0.0
8.0,LMP + toll,100.0,11.780762705833089,19740.6087323414,26.97761074876908,19661.039231995583,19751.271845788564,2.2684576235005807
8.0,LMP + BESS Houston,,,19737.364219512903,40.52123912462261,19615.55052121996,19752.74999401704,-0.9760552049956459
8.0,LMP + BESS West,,,19737.631331111235,40.52930156037117,19615.990078669973,19752.98537731605,-0.7089436066635244
8.0,LMP + BESS both,,,19736.655275906287,39.40448776997871,19618.07707874439,19751.54297796604,-1.6849988116118766
8.0,LMP + toll + BESS Houston,100.0,11.780762705833089,19739.632677136404,25.851760198215946,19663.38846351948,19749.87068343871,1.2924024185049348
8.0,LMP + toll + BESS West,100.0,11.780762705833089,19739.899788734736,25.86034281284756,19663.732569956257,19750.11434605093,1.5595140168370563
8.0,LMP + toll + BESS both,100.0,11.780762705754267,19738.923733529788,24.734477838996785,19666.086684115253,19748.71676146189,0.5834588118887041
5.0,LMP only,,,19738.3402747179,41.646086114745344,19613.383988613507,19754.19239336705,0.0
5.0,LMP + toll,100.0,11.780762705833089,19742.4087323414,26.97761074876908,19662.839231995582,19753.071845788563,4.068457623499853
5.0,LMP + BESS Houston,,,19737.364219512903,40.52123912462261,19615.55052121996,19752.74999401704,-0.9760552049956459
5.0,LMP + BESS West,,,19737.631331111235,40.52930156037117,19615.990078669973,19752.98537731605,-0.7089436066635244
5.0,LMP + BESS both,,,19736.655275906287,39.40448776997871,19618.07707874439,19751.54297796604,-1.6849988116118766
5.0,LMP + toll + BESS Houston,100.0,11.780762705833089,19741.432677136403,25.851760198215946,19665.18846351948,19751.670683438708,3.092402418504207
5.0,LMP + toll + BESS West,100.0,11.780762705833089,19741.699788734735,25.86034281284756,19665.532569956256,19751.91434605093,3.3595140168363287
5.0,LMP + toll + BESS both,100.0,11.780762705754267,19740.723733529787,24.734477838996785,19667.886684115252,19750.516761461888,2.3834588118879765
