K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19753.80240836078,2.213123732148233,100.0,19753.80240836078,2.213123732148233,19751.589284628633
1.0,0.6,19753.20240836078,1.6131237321460503,100.0,19753.20240836078,1.6131237321460503,19751.589284628633
2.0,1.2,19752.602408360774,1.0131237321402295,100.0,19752.602408360774,1.0131237321402295,19751.589284628633
2.5,1.5,19752.30240836078,0.7131237321482331,100.0,19752.30240836078,0.7131237321482331,19751.589284628633
3.0,1.8,19752.002408360775,0.41312373214168474,100.0,19752.002408360775,0.41312373214168474,19751.589284628633
3.5,2.1,19751.70240836078,0.11312373214605032,100.0,19751.70240836078,0.11312373214605032,19751.589284628633
4.0,2.4,19751.402408360776,-0.18687626785686007,0.0,19751.589284628633,0.0,19751.589284628633
6.0,3.6,19750.20240836078,-1.3868762678539497,0.0,19751.589284628633,0.0,19751.589284628633
8.0,4.8,19749.002408360775,-2.5868762678583153,0.0,19751.589284628633,0.0,19751.589284628633
12.0,7.2,19746.602408360774,-4.9868762678597705,0.0,19751.589284628633,0.0,19751.589284628633
