K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19751.589284628637,1.620612513226305,19748.95234624973,19753.609758557566,0.0
8.0,LMP + toll,0.0,3.6885395535561356,19751.589284628637,1.620612513226305,19748.95234624973,19753.609758557566,0.0
8.0,LMP + BESS Houston,,,19750.264411865228,1.557249659469172,19747.73390205157,19752.190647340514,-1.3248727634090756
8.0,LMP + BESS West,,,19750.53510543929,1.541649749418532,19748.030673308655,19752.428616634166,-1.0541791893483605
8.0,LMP + BESS both,,,19749.210232675887,1.4781518651121075,19746.812229110503,19751.00950541711,-2.37905195275016
8.0,LMP + toll + BESS Houston,0.0,3.6885395535743255,19750.264411865228,1.557249659469172,19747.73390205157,19752.190647340514,-1.3248727634090756
8.0,LMP + toll + BESS West,0.0,3.6885395535803887,19750.53510543929,1.541649749418532,19748.030673308655,19752.428616634166,-1.0541791893483605
8.0,LMP + toll + BESS both,0.0,3.688539553568262,19749.210232675887,1.4781518651121075,19746.812229110503,19751.00950541711,-2.37905195275016
5.0,LMP only,,,19751.589284628637,1.620612513226305,19748.95234624973,19753.609758557566,0.0
5.0,LMP + toll,0.0,3.6885395535561356,19751.589284628637,1.620612513226305,19748.95234624973,19753.609758557566,0.0
5.0,LMP + BESS Houston,,,19750.264411865228,1.557249659469172,19747.73390205157,19752.190647340514,-1.3248727634090756
5.0,LMP + BESS West,,,19750.53510543929,1.541649749418532,19748.030673308655,19752.428616634166,-1.0541791893483605
5.0,LMP + BESS both,,,19749.210232675887,1.4781518651121075,19746.812229110503,19751.00950541711,-2.37905195275016
5.0,LMP + toll + BESS Houston,0.0,3.6885395535743255,19750.264411865228,1.557249659469172,19747.73390205157,19752.190647340514,-1.3248727634090756
5.0,LMP + toll + BESS West,0.0,3.6885395535803887,19750.53510543929,1.541649749418532,19748.030673308655,19752.428616634166,-1.0541791893483605
5.0,LMP + toll + BESS both,0.0,3.688539553568262,19749.210232675887,1.4781518651121075,19746.812229110503,19751.00950541711,-2.37905195275016
3.683,LMP only,,,19751.589284628637,1.620612513226305,19748.95234624973,19753.609758557566,0.0
3.683,LMP + toll,60.0,3.6885395535561356,19751.59625346639,1.4818529678710497,,,0.006968837751628598
3.683,LMP + BESS Houston,,,19750.264411865228,1.557249659469172,19747.73390205157,19752.190647340514,-1.3248727634090756
3.683,LMP + BESS West,,,19750.53510543929,1.541649749418532,19748.030673308655,19752.428616634166,-1.0541791893483605
3.683,LMP + BESS both,,,19749.210232675887,1.4781518651121075,19746.812229110503,19751.00950541711,-2.37905195275016
3.683,LMP + toll + BESS Houston,60.0,3.6885395535743255,19750.27138070298,1.4818529678710497,,,-1.317903925657447
3.683,LMP + toll + BESS West,60.0,3.6885395535803887,19750.54207427704,1.4818529678710497,,,-1.047210351596732
3.683,LMP + toll + BESS both,60.0,3.688539553568262,19749.21720151364,1.4818529678710497,,,-2.3720831149985315
3.32,LMP only,,,19751.589284628637,1.620612513226305,19748.95234624973,19753.609758557566,0.0
3.32,LMP + toll,100.0,3.6885395535561356,19751.810408360783,1.3965956366440997,19749.5018227777,19753.525423298295,0.22112373214622494
3.32,LMP + BESS Houston,,,19750.264411865228,1.557249659469172,19747.73390205157,19752.190647340514,-1.3248727634090756
3.32,LMP + BESS West,,,19750.53510543929,1.541649749418532,19748.030673308655,19752.428616634166,-1.0541791893483605
3.32,LMP + BESS both,,,19749.210232675887,1.4781518651121075,19746.812229110503,19751.00950541711,-2.37905195275016
3.32,LMP + toll + BESS Houston,100.0,3.6885395535743255,19750.485535597374,1.340213137011518,19748.28337857954,19752.14816870583,-1.1037490312628506
3.32,LMP + toll + BESS West,100.0,3.6885395535803887,19750.756229171435,1.3168772205014616,19748.580149836624,19752.394420544722,-0.8330554572021356
3.32,LMP + toll + BESS both,100.0,3.688539553568262,19749.431356408033,1.2607398211998222,19747.361705638476,19751.02079734357,-2.157928220603935
