K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19752.804139726642,2.863283669001248,100.0,19752.804139726642,2.863283669001248,19749.94085605764
1.0,0.6,19752.20413972664,2.2632836689990654,100.0,19752.20413972664,2.2632836689990654,19749.94085605764
2.0,1.2,19751.604139726638,1.6632836689968826,100.0,19751.604139726638,1.6632836689968826,19749.94085605764
2.5,1.5,19751.304139726642,1.3632836690012482,100.0,19751.304139726642,1.3632836690012482,19749.94085605764
3.0,1.8,19751.00413972664,1.0632836689983378,100.0,19751.00413972664,1.0632836689983378,19749.94085605764
3.5,2.1,19750.70413972664,0.7632836689990654,100.0,19750.70413972664,0.7632836689990654,19749.94085605764
4.0,2.4,19750.40413972664,0.463283668999793,100.0,19750.40413972664,0.463283668999793,19749.94085605764
6.0,3.6,19749.20413972664,-0.7367163310009346,0.0,19749.94085605764,0.0,19749.94085605764
8.0,4.8,19748.00413972664,-1.9367163310016622,0.0,19749.94085605764,0.0,19749.94085605764
12.0,7.2,19745.604139726638,-4.336716331003117,0.0,19749.94085605764,0.0,19749.94085605764
