K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19749.94085605764,2.5796977629435816,19746.474859810885,19753.5298142169,0.0
8.0,LMP + toll,0.0,4.772139448329351,19749.94085605764,2.5796977629435816,19746.474859810885,19753.5298142169,0.0
8.0,LMP + BESS Houston,,,19748.66848944581,2.4896340422933885,19745.2982032345,19752.104282087024,-1.2723666118326946
8.0,LMP + BESS West,,,19748.934842984218,2.4771703783017616,19745.57566929457,19752.346393699263,-1.0060130734236736
8.0,LMP + BESS both,,,19747.662476372385,2.3870683807503945,19744.39901271819,19750.914213585595,-2.2783796852563682
8.0,LMP + toll + BESS Houston,0.0,4.772139448329351,19748.66848944581,2.4896340422933885,19745.2982032345,19752.104282087024,-1.2723666118326946
8.0,LMP + toll + BESS West,0.0,4.772139448317224,19748.934842984218,2.4771703783017616,19745.57566929457,19752.346393699263,-1.0060130734236736
8.0,LMP + toll + BESS both,0.0,4.772139448329351,19747.662476372385,2.3870683807503945,19744.39901271819,19750.914213585595,-2.2783796852563682
5.0,LMP only,,,19749.94085605764,2.5796977629435816,19746.474859810885,19753.5298142169,0.0
5.0,LMP + toll,0.0,4.772139448329351,19749.94085605764,2.5796977629435816,19746.474859810885,19753.5298142169,0.0
5.0,LMP + BESS Houston,,,19748.66848944581,2.4896340422933885,19745.2982032345,19752.104282087024,-1.2723666118326946
5.0,LMP + BESS West,,,19748.934842984218,2.4771703783017616,19745.57566929457,19752.346393699263,-1.0060130734236736
5.0,LMP + BESS both,,,19747.662476372385,2.3870683807503945,19744.39901271819,19750.914213585595,-2.2783796852563682
5.0,LMP + toll + BESS Houston,0.0,4.772139448329351,19748.66848944581,2.4896340422933885,19745.2982032345,19752.104282087024,-1.2723666118326946
5.0,LMP + toll + BESS West,0.0,4.772139448317224,19748.934842984218,2.4771703783017616,19745.57566929457,19752.346393699263,-1.0060130734236736
5.0,LMP + toll + BESS both,0.0,4.772139448329351,19747.662476372385,2.3870683807503945,19744.39901271819,19750.914213585595,-2.2783796852563682
4.767,LMP only,,,19749.94085605764,2.5796977629435816,19746.474859810885,19753.5298142169,0.0
4.767,LMP + toll,60.0,4.772139448329351,19749.94893095292,2.163399501411118,,,0.008074895278696204
4.767,LMP + BESS Houston,,,19748.66848944581,2.4896340422933885,19745.2982032345,19752.104282087024,-1.2723666118326946
4.767,LMP + BESS West,,,19748.934842984218,2.4771703783017616,19745.57566929457,19752.346393699263,-1.0060130734236736
4.767,LMP + BESS both,,,19747.662476372385,2.3870683807503945,19744.39901271819,19750.914213585595,-2.2783796852563682
4.767,LMP + toll + BESS Houston,60.0,4.772139448329351,19748.676564341087,2.163399501411118,,,-1.2642917165539984
4.767,LMP + toll + BESS West,60.0,4.772139448317224,19748.942917879496,2.163399501411118,,,-0.9979381781449774
4.767,LMP + toll + BESS both,60.0,4.772139448329351,19747.670551267664,2.163399501411118,,,-2.270304789977672
4.295,LMP only,,,19749.94085605764,2.5796977629435816,19746.474859810885,19753.5298142169,0.0
4.295,LMP + toll,100.0,4.772139448329351,19750.227139726638,1.900570864080751,19747.641580611387,19752.83637163597,0.28628366899647517
4.295,LMP + BESS Houston,,,19748.66848944581,2.4896340422933885,19745.2982032345,19752.104282087024,-1.2723666118326946
4.295,LMP + BESS West,,,19748.934842984218,2.4771703783017616,19745.57566929457,19752.346393699263,-1.0060130734236736
4.295,LMP + BESS both,,,19747.662476372385,2.3870683807503945,19744.39901271819,19750.914213585595,-2.2783796852563682
4.295,LMP + toll + BESS Houston,100.0,4.772139448329351,19748.954773114805,1.814585746145466,19746.43821241606,19751.490837121994,-0.9860829428362194
4.295,LMP + toll + BESS West,100.0,4.772139448317224,19749.221126653214,1.796564792674752,19746.74014177161,19751.693839888445,-0.7197294044271985
4.295,LMP + toll + BESS both,100.0,4.772139448329351,19747.94876004138,1.710696387391737,19745.554954478313,19750.315894984695,-1.992096016259893
