K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19751.948513564097,3.5606892641226295,100.0,19751.948513564097,3.5606892641226295,19748.387824299974
1.0,0.6,19751.348513564095,2.9606892641204468,100.0,19751.348513564095,2.9606892641204468,19748.387824299974
2.0,1.2,19750.748513564093,2.360689264118264,100.0,19750.748513564093,2.360689264118264,19748.387824299974
2.5,1.5,19750.448513564097,2.0606892641226295,100.0,19750.448513564097,2.0606892641226295,19748.387824299974
3.0,1.8,19750.148513564094,1.7606892641197192,100.0,19750.148513564094,1.7606892641197192,19748.387824299974
3.5,2.1,19749.848513564095,1.4606892641204468,100.0,19749.848513564095,1.4606892641204468,19748.387824299974
4.0,2.4,19749.548513564092,1.1606892641175364,100.0,19749.548513564092,1.1606892641175364,19748.387824299974
6.0,3.6,19748.348513564095,-0.03931073587955325,0.0,19748.387824299974,0.0,19748.387824299974
8.0,4.8,19747.148513564094,-1.2393107358802808,0.0,19748.387824299974,0.0,19748.387824299974
12.0,7.2,19744.748513564093,-3.639310735881736,0.0,19748.387824299974,0.0,19748.387824299974
