K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
8.0,LMP only,,,19748.38782429997,7.389355297263255,19731.880281934104,19753.609758557566,0.0
8.0,LMP + toll,0.0,5.934482106864986,19748.38782429997,7.389355297263255,19731.880281934104,19753.609758557566,0.0
8.0,LMP + BESS Houston,,,19747.2133241988,7.0458788687354525,19731.498667864864,19752.190647340514,-1.1745001011695422
8.0,LMP + BESS West,,,19747.488433112143,7.03946444678246,19731.69305660881,19752.428616634166,-0.8993911878278595
8.0,LMP + BESS both,,,19746.31393301097,6.696176143500551,19731.31144253957,19751.00950541711,-2.0738912890010397
8.0,LMP + toll + BESS Houston,0.0,5.934482106864986,19747.2133241988,7.0458788687354525,19731.498667864864,19752.190647340514,-1.1745001011695422
8.0,LMP + toll + BESS West,0.0,5.934482106864986,19747.488433112143,7.03946444678246,19731.69305660881,19752.428616634166,-0.8993911878278595
8.0,LMP + toll + BESS both,0.0,5.934482106864986,19746.31393301097,6.696176143500551,19731.31144253957,19751.00950541711,-2.0738912890010397
5.928,LMP only,,,19748.38782429997,7.389355297263255,19731.880281934104,19753.609758557566,0.0
5.928,LMP + toll,60.0,5.934482106864986,19748.39784275752,5.651403448143416,,,0.010018457549449522
5.928,LMP + BESS Houston,,,19747.2133241988,7.0458788687354525,19731.498667864864,19752.190647340514,-1.1745001011695422
5.928,LMP + BESS West,,,19747.488433112143,7.03946444678246,19731.69305660881,19752.428616634166,-0.8993911878278595
5.928,LMP + BESS both,,,19746.31393301097,6.696176143500551,19731.31144253957,19751.00950541711,-2.0738912890010397
5.928,LMP + toll + BESS Houston,60.0,5.934482106864986,19747.22334265635,5.651403448143416,,,-1.1644816436200927
5.928,LMP + toll + BESS West,60.0,5.934482106864986,19747.498451569692,5.651403448143416,,,-0.88937273027841
5.928,LMP + toll + BESS both,60.0,5.934482106864986,19746.32395146852,5.651403448143416,,,-2.06387283145159
5.341,LMP only,,,19748.38782429997,7.389355297263255,19731.880281934104,19753.609758557566,0.0
5.341,LMP + toll,100.0,5.934482106864986,19748.743913564096,4.515389015899184,19738.945702262758,19752.312823298293,0.3560892641253304
5.341,LMP + BESS Houston,,,19747.2133241988,7.0458788687354525,19731.498667864864,19752.190647340514,-1.1745001011695422
5.341,LMP + BESS West,,,19747.488433112143,7.03946444678246,19731.69305660881,19752.428616634166,-0.8993911878278595
5.341,LMP + BESS both,,,19746.31393301097,6.696176143500551,19731.31144253957,19751.00950541711,-2.0738912890010397
5.341,LMP + toll + BESS Houston,100.0,5.934482106864986,19747.569413462927,4.179143104937798,19738.564088193518,19750.935568705827,-0.8184108370442118
5.341,LMP + toll + BESS West,100.0,5.934482106864986,19747.84452237627,4.16889016966518,19738.758476937463,19751.18182054472,-0.5433019237025292
5.341,LMP + toll + BESS both,100.0,5.934482106864986,19746.670022275095,3.8339303980298367,19738.376862868216,19749.80819734357,-1.7178020248757093
5.0,LMP only,,,19748.38782429997,7.389355297263255,19731.880281934104,19753.609758557566,0.0
5.0,LMP + toll,100.0,5.934482106864986,19748.948513564097,4.515389015899184,19739.15030226276,19752.517423298294,0.5606892641262675
5.0,LMP + BESS Houston,,,19747.2133241988,7.0458788687354525,19731.498667864864,19752.190647340514,-1.1745001011695422
5.0,LMP + BESS West,,,19747.488433112143,7.03946444678246,19731.69305660881,19752.428616634166,-0.8993911878278595
5.0,LMP + BESS both,,,19746.31393301097,6.696176143500551,19731.31144253957,19751.00950541711,-2.0738912890010397
5.0,LMP + toll + BESS Houston,100.0,5.934482106864986,19747.774013462928,4.179143104937798,19738.76868819352,19751.140168705828,-0.6138108370432747
5.0,LMP + toll + BESS West,100.0,5.934482106864986,19748.04912237627,4.16889016966518,19738.963076937463,19751.38642054472,-0.338701923701592
5.0,LMP + toll + BESS both,100.0,5.934482106864986,19746.874622275096,3.8339303980298367,19738.581462868216,19750.01279734357,-1.5132020248747722
