K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19744.83049444156,7.101277250818384,100.0,19744.83049444156,7.101277250818384,19737.729217190743
1.0,0.6,19744.23049444156,6.501277250816202,100.0,19744.23049444156,6.501277250816202,19737.729217190743
2.0,1.2,19743.630494441557,5.901277250814019,100.0,19743.630494441557,5.901277250814019,19737.729217190743
2.5,1.5,19743.33049444156,5.601277250818384,100.0,19743.33049444156,5.601277250818384,19737.729217190743
3.0,1.8,19743.03049444156,5.301277250815474,100.0,19743.03049444156,5.301277250815474,19737.729217190743
3.5,2.1,19742.73049444156,5.001277250816202,100.0,19742.73049444156,5.001277250816202,19737.729217190743
4.0,2.4,19742.430494441556,4.701277250813291,100.0,19742.430494441556,4.701277250813291,19737.729217190743
6.0,3.6,19741.23049444156,3.5012772508162016,100.0,19741.23049444156,3.5012772508162016,19737.729217190743
8.0,4.8,19740.03049444156,2.301277250815474,100.0,19740.03049444156,2.301277250815474,19737.729217190743
12.0,7.2,19737.630494441557,-0.09872274918598123,0.0,19737.729217190743,0.0,19737.729217190743
