K_per_kw_month,scenario,mw_chosen,scenario_kstar,mean_$M,std_$M,p05_$M,p95_$M,delta_vs_lmp_only_$M
11.83,LMP only,,,19737.729217190743,41.64345197606592,19612.798234786736,19753.609758557566,0.0
11.83,LMP + toll,60.0,11.835462084691244,19737.736158139698,32.84005499104759,,,0.00694094895516173
11.83,LMP + BESS Houston,,,19736.777780556746,40.51869266034394,19614.96399951718,19752.190647340514,-0.9514366339972185
11.83,LMP + BESS West,,,19737.047963566107,40.5268734279081,19615.431404237745,19752.428616634166,-0.681253624636156
11.83,LMP + BESS both,,,19736.096526932102,39.40214737737698,19617.51797564785,19751.00950541711,-1.6326902586406504
11.83,LMP + toll + BESS Houston,60.0,11.835462084691244,19736.7847215057,32.84005499104759,,,-0.9444956850420567
11.83,LMP + toll + BESS West,60.0,11.835462084685181,19737.054904515062,32.84005499104759,,,-0.6743126756809943
11.83,LMP + toll + BESS both,60.0,11.835462084697308,19736.103467881057,32.84005499104759,,,-1.6257493096854887
10.652,LMP only,,,19737.729217190743,41.64345197606592,19612.798234786736,19753.609758557566,0.0
10.652,LMP + toll,100.0,11.835462084691244,19738.439294441563,26.975499875556093,19658.894813497165,19749.126223298295,0.7100772508201771
10.652,LMP + BESS Houston,,,19736.777780556746,40.51869266034394,19614.96399951718,19752.190647340514,-0.9514366339972185
10.652,LMP + BESS West,,,19737.047963566107,40.5268734279081,19615.431404237745,19752.428616634166,-0.681253624636156
10.652,LMP + BESS both,,,19736.096526932102,39.40214737737698,19617.51797564785,19751.00950541711,-1.6326902586406504
10.652,LMP + toll + BESS Houston,100.0,11.835462084691244,19737.487857807566,25.849743575191216,19661.266384267365,19747.74896870583,-0.2413593831770413
10.652,LMP + toll + BESS West,100.0,11.835462084685181,19737.758040816927,25.85842972735538,19661.614571293187,19747.995220544723,0.028823626184021123
10.652,LMP + toll + BESS both,100.0,11.835462084697308,19736.806604182922,24.732659036544195,19663.991220501288,19746.621597343572,-0.9226130078204733
8.0,LMP only,,,19737.729217190743,41.64345197606592,19612.798234786736,19753.609758557566,0.0
8.0,LMP + toll,100.0,11.835462084691244,19740.030494441562,26.975499875556093,19660.486013497164,19750.717423298294,2.301277250819112
8.0,LMP + BESS Houston,,,19736.777780556746,40.51869266034394,19614.96399951718,19752.190647340514,-0.9514366339972185
8.0,LMP + BESS West,,,19737.047963566107,40.5268734279081,19615.431404237745,19752.428616634166,-0.681253624636156
8.0,LMP + BESS both,,,19736.096526932102,39.40214737737698,19617.51797564785,19751.00950541711,-1.6326902586406504
8.0,LMP + toll + BESS Houston,100.0,11.835462084691244,19739.079057807565,25.849743575191216,19662.857584267364,19749.34016870583,1.3498406168218935
8.0,LMP + toll + BESS West,100.0,11.835462084685181,19739.349240816926,25.85842972735538,19663.205771293186,19749.58642054472,1.620023626182956
8.0,LMP + toll + BESS both,100.0,11.835462084697308,19738.39780418292,24.732659036544195,19665.582420501287,19748.21279734357,0.6685869921784615
5.0,LMP only,,,19737.729217190743,41.64345197606592,19612.798234786736,19753.609758557566,0.0
5.0,LMP + toll,100.0,11.835462084691244,19741.83049444156,26.975499875556093,19662.286013497163,19752.517423298294,4.101277250818384
5.0,LMP + BESS Houston,,,19736.777780556746,40.51869266034394,19614.96399951718,19752.190647340514,-0.9514366339972185
5.0,LMP + BESS West,,,19737.047963566107,40.5268734279081,19615.431404237745,19752.428616634166,-0.681253624636156
5.0,LMP + BESS both,,,19736.096526932102,39.40214737737698,19617.51797564785,19751.00950541711,-1.6326902586406504
5.0,LMP + toll + BESS Houston,100.0,11.835462084691244,19740.879057807564,25.849743575191216,19664.657584267363,19751.140168705828,3.149840616821166
5.0,LMP + toll + BESS West,100.0,11.835462084685181,19741.149240816925,25.85842972735538,19665.005771293185,19751.38642054472,3.4200236261822283
5.0,LMP + toll + BESS both,100.0,11.835462084697308,19740.19780418292,24.732659036544195,19667.382420501286,19750.01279734357,2.468586992177734
